epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.1707,59.1163,7.0645,52.0518,0.0000,0.0000,0.0030,1.0000
0.3431,44.1428,8.1904,35.9524,0.0000,0.0000,0.0030,1.0000
0.5155,40.9856,7.9658,33.0199,0.0000,0.0000,0.0030,1.0000
0.6879,39.2374,7.6388,31.5986,0.0000,0.0000,0.0030,1.0000
0.8603,36.0457,7.4406,28.6051,0.0000,0.0000,0.0030,1.0000
1.0310,16.5121,1.5128,6.6642,8.3351,0.0000,0.0010,1.0000
1.2034,64.5042,8.9052,24.0403,31.5586,0.0000,0.0010,1.0000
1.3759,55.7486,8.5900,19.8921,27.2665,0.0000,0.0010,1.0000
1.5483,51.9104,8.2645,18.1689,25.4770,0.0000,0.0010,1.0000
1.7207,50.3374,8.0467,17.5696,24.7211,0.0000,0.0010,1.0000
1.8931,48.4430,7.9205,16.7354,23.7871,0.0000,0.0010,1.0000
2.0638,18.0411,3.0328,6.1426,8.8657,0.0000,0.0010,1.0000
2.2362,47.2370,7.8859,16.0952,23.2558,0.0000,0.0010,1.0000
2.4086,46.7223,7.8970,15.8110,23.0143,0.0000,0.0010,1.0000
2.5810,46.1530,7.8126,15.5934,22.7470,0.0000,0.0010,1.0000
2.7534,45.8118,7.8041,15.4261,22.5816,0.0000,0.0010,1.0000
2.9259,44.6608,7.7385,14.9442,21.9781,0.0000,0.0010,1.0000
3.0966,25.6932,4.4624,8.5794,12.6514,0.0000,0.0010,1.0000
3.2690,45.0420,7.7900,14.9981,22.2539,0.0000,0.0010,1.0000
3.4414,44.5053,7.7251,14.8161,21.9641,0.0000,0.0010,1.0000
3.6138,44.2942,7.6976,14.6787,21.9179,0.0000,0.0010,1.0000
3.7862,43.9017,7.6847,14.5446,21.6723,0.0000,0.0010,1.0000
3.9586,43.6793,7.6614,14.4114,21.6064,0.0000,0.0010,1.0000
4.1293,33.2296,5.8615,10.9441,16.4240,0.0000,0.0010,1.0000
4.3017,43.6836,7.6573,14.3824,21.6439,0.0000,0.0010,1.0000
4.4741,43.4453,7.6153,14.2718,21.5581,0.0000,0.0010,1.0000
4.6466,43.3456,7.6063,14.2711,21.4682,0.0000,0.0010,1.0000
4.8190,42.9715,7.6069,14.0482,21.3165,0.0000,0.0010,1.0000
4.9914,42.2381,7.5085,13.7822,20.9474,0.0000,0.0010,1.0000
5.1621,40.3690,7.1706,13.1945,20.0039,0.0000,0.0010,1.0000
5.3345,43.0118,7.5939,13.9997,21.4182,0.0000,0.0010,1.0000
5.5069,42.4515,7.5324,13.7937,21.1255,0.0000,0.0010,1.0000
5.6793,42.4495,7.5016,13.8390,21.1089,0.0000,0.0010,1.0000
5.8517,42.0086,7.5020,13.6038,20.9027,0.0000,0.0010,1.0000
6.0224,5.7179,1.0429,1.8433,2.8317,0.0000,0.0010,1.0000
6.1948,42.0752,7.4684,13.6760,20.9308,0.0000,0.0010,1.0000
6.3672,42.2633,7.4676,13.6323,21.1634,0.0000,0.0010,1.0000
6.5397,41.4442,7.4263,13.3264,20.6915,0.0000,0.0010,1.0000
6.7121,41.7290,7.3966,13.4868,20.8457,0.0000,0.0010,1.0000
6.8845,40.9927,7.3717,13.2139,20.4071,0.0000,0.0010,1.0000
7.0552,13.4923,2.4115,4.3544,6.7264,0.0000,0.0010,1.0000
7.2276,41.3711,7.3644,13.3216,20.6851,0.0000,0.0010,1.0000
7.4000,41.3832,7.3790,13.2389,20.7653,0.0000,0.0010,1.0000
7.5724,41.0032,7.3091,13.1108,20.5833,0.0000,0.0010,1.0000
7.7448,41.0219,7.3088,13.1632,20.5500,0.0000,0.0010,1.0000
7.9172,40.1089,7.2348,12.7864,20.0877,0.0000,0.0010,1.0000
8.0879,21.2287,3.7919,6.8050,10.6318,0.0000,0.0010,1.0000
8.2603,40.7654,7.2446,13.0326,20.4883,0.0000,0.0010,1.0000
8.4328,40.5072,7.2389,12.8606,20.4078,0.0000,0.0010,1.0000
8.6052,40.4339,7.1998,12.8813,20.3527,0.0000,0.0010,1.0000
8.7776,40.3220,7.1958,12.8772,20.2490,0.0000,0.0010,1.0000
8.9500,39.8992,7.1499,12.6122,20.1371,0.0000,0.0010,1.0000
9.1207,28.6122,5.0833,9.1387,14.3901,0.0000,0.0010,1.0000
9.2931,40.2517,7.1770,12.7288,20.3460,0.0000,0.0010,1.0000
9.4655,39.9148,7.1072,12.6385,20.1692,0.0000,0.0010,1.0000
9.6379,40.0136,7.1214,12.6891,20.2031,0.0000,0.0010,1.0000
9.8103,39.7629,7.1007,12.5648,20.0973,0.0000,0.0010,1.0000
9.9828,39.2323,7.0311,12.3526,19.8486,0.0000,0.0010,1.0000
10.1534,35.5965,6.3277,11.2689,18.0000,0.0000,0.0010,1.0000
10.3259,39.9367,7.0966,12.6075,20.2327,0.0000,0.0010,1.0000
10.4983,39.5304,7.0571,12.4088,20.0644,0.0000,0.0010,1.0000
10.6707,39.3769,6.9994,12.4410,19.9365,0.0000,0.0010,1.0000
10.8431,39.3696,7.0322,12.3629,19.9745,0.0000,0.0010,1.0000
11.0138,3.3424,0.6025,1.0519,1.6881,0.0000,0.0003,1.0000
11.1862,38.6651,6.9782,12.0502,19.6367,0.0000,0.0003,1.0000
11.3586,39.0312,7.0363,12.1039,19.8910,0.0000,0.0003,1.0000
11.5310,38.3519,6.9595,11.8765,19.5159,0.0000,0.0003,1.0000
11.7034,38.7466,6.9865,12.0696,19.6905,0.0000,0.0003,1.0000
11.8759,38.0710,6.9254,11.8122,19.3334,0.0000,0.0003,1.0000
12.0466,10.6213,1.9228,3.3193,5.3791,0.0000,0.0003,1.0000
12.2190,38.4961,6.9518,11.9820,19.5624,0.0000,0.0003,1.0000
12.3914,38.6755,7.0048,11.9752,19.6955,0.0000,0.0003,1.0000
12.5638,38.2199,6.9382,11.7917,19.4901,0.0000,0.0003,1.0000
12.7362,38.4865,6.9412,11.9907,19.5546,0.0000,0.0003,1.0000
12.9086,37.6066,6.8662,11.6064,19.1339,0.0000,0.0003,1.0000
13.0793,17.9679,3.2509,5.5772,9.1398,0.0000,0.0003,1.0000
13.2517,38.4694,6.9300,11.9595,19.5799,0.0000,0.0003,1.0000
13.4241,38.1168,6.9287,11.7590,19.4291,0.0000,0.0003,1.0000
13.5966,38.1903,6.9154,11.8098,19.4651,0.0000,0.0003,1.0000
13.7690,38.1071,6.8921,11.8130,19.4020,0.0000,0.0003,1.0000
13.9414,37.6014,6.8379,11.5878,19.1756,0.0000,0.0003,1.0000
14.1121,25.2727,4.5594,7.8477,12.8656,0.0000,0.0003,1.0000
14.2845,38.0637,6.8944,11.7476,19.4217,0.0000,0.0003,1.0000
14.4569,37.9638,6.8810,11.7052,19.3776,0.0000,0.0003,1.0000
14.6293,38.0380,6.8851,11.7777,19.3752,0.0000,0.0003,1.0000
14.8017,37.8146,6.8448,11.6767,19.2931,0.0000,0.0003,1.0000
14.9741,37.5004,6.8059,11.5485,19.1461,0.0000,0.0003,1.0000
15.1448,32.1394,5.8113,9.9529,16.3752,0.0000,0.0003,1.0000
15.3172,38.0422,6.8714,11.7209,19.4499,0.0000,0.0003,1.0000
15.4897,37.9430,6.8799,11.6710,19.3920,0.0000,0.0003,1.0000
15.6621,37.9300,6.8491,11.7449,19.3359,0.0000,0.0003,1.0000
15.8345,37.5072,6.8205,11.5379,19.1487,0.0000,0.0003,1.0000
