epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.0131,101.6112,0.7403,104.4690,0.0000,4.0000,0.0010,3.0000
0.0277,84.4865,1.8223,88.4984,0.0000,4.0000,0.0010,3.0000
0.0422,75.7255,4.7207,78.9401,0.0000,4.0000,0.0010,3.0000
0.0568,57.4554,6.3126,58.9928,0.0000,4.0000,0.0010,3.0000
0.0713,57.1526,6.8773,60.5608,0.0000,4.0000,0.0010,3.0000
0.0859,50.8854,6.0179,55.8213,0.0000,4.0000,0.0010,3.0000
0.1004,47.6259,6.3125,53.0269,0.0000,4.0000,0.0010,3.0000
0.1150,43.2042,6.2436,49.0242,0.0000,4.0000,0.0010,3.0000
0.1295,45.1133,6.5928,52.1329,0.0000,4.0000,0.0010,3.0000
0.1441,46.1056,6.8647,52.7584,0.0000,4.0000,0.0010,3.0000
0.1587,41.8241,6.3584,47.9702,0.0000,4.0000,0.0010,3.0000
0.1732,39.8246,6.4881,46.0167,0.0000,4.0000,0.0010,3.0000
0.1878,39.3061,6.2241,45.0165,0.0000,4.0000,0.0010,3.0000
0.2023,38.7159,6.5552,44.1495,0.0000,4.0000,0.0010,3.0000
0.2169,39.9294,6.7341,44.8796,0.0000,4.0000,0.0010,3.0000
0.2314,43.5936,7.1700,47.8475,0.0000,4.0000,0.0010,3.0000
0.2460,42.3470,8.1006,46.5020,0.0000,4.0000,0.0010,3.0000
0.2606,41.9990,7.5297,45.6868,0.0000,4.0000,0.0010,3.0000
0.2751,41.4371,7.8061,44.4757,0.0000,4.0000,0.0010,3.0000
0.2897,40.6936,7.0844,44.5941,0.0000,4.0000,0.0010,3.0000
0.3042,38.6385,6.7659,42.6989,0.0000,4.0000,0.0010,3.0000
0.3188,37.6528,7.0498,40.4391,0.0000,4.0000,0.0010,3.0000
0.3333,40.9093,7.3149,43.4052,0.0000,4.0000,0.0010,3.0000
0.3479,35.7167,6.8634,38.1290,0.0000,4.0000,0.0010,3.0000
0.3624,37.1843,7.4347,39.3345,0.0000,4.0000,0.0010,3.0000
0.3770,38.3000,8.3351,39.4304,0.0000,4.0000,0.0010,3.0000
0.3916,36.4775,7.2200,38.5837,0.0000,4.0000,0.0010,3.0000
0.4061,37.4641,7.4927,39.9656,0.0000,4.0000,0.0010,3.0000
0.4207,37.9882,7.5761,39.7736,0.0000,4.0000,0.0010,3.0000
0.4352,35.6835,7.3766,37.3887,0.0000,4.0000,0.0010,3.0000
0.4498,37.7332,7.4992,39.1384,0.0000,4.0000,0.0010,3.0000
0.4643,36.6390,7.6230,37.9723,0.0000,4.0000,0.0010,3.0000
0.4789,36.6361,7.2656,37.8065,0.0000,4.0000,0.0010,3.0000
0.4934,37.3042,7.6205,38.3915,0.0000,4.0000,0.0010,3.0000
0.5080,39.5259,8.0669,40.2629,0.0000,4.0000,0.0010,3.0000
0.5226,37.3484,7.7569,39.1543,0.0000,4.0000,0.0010,3.0000
0.5371,36.7848,7.9968,38.0530,0.0000,4.0000,0.0010,3.0000
0.5517,37.7009,7.3871,39.2062,0.0000,4.0000,0.0010,3.0000
0.5662,36.2116,7.4615,37.7579,0.0000,4.0000,0.0010,3.0000
0.5808,37.4878,7.3270,39.1339,0.0000,4.0000,0.0010,3.0000
0.5953,36.7706,7.4361,38.2845,0.0000,4.0000,0.0010,3.0000
0.6099,34.1153,6.7811,35.7227,0.0000,4.0000,0.0010,3.0000
0.6245,35.8200,7.4325,37.6290,0.0000,4.0000,0.0010,3.0000
0.6390,37.5578,8.0437,38.9128,0.0000,4.0000,0.0010,3.0000
0.6536,34.9141,6.9963,36.5654,0.0000,4.0000,0.0010,3.0000
0.6681,38.8835,7.9975,39.7242,0.0000,4.0000,0.0010,3.0000
0.6827,38.5872,7.7460,40.0828,0.0000,4.0000,0.0010,3.0000
0.6972,37.1516,7.6968,38.5252,0.0000,4.0000,0.0010,3.0000
0.7118,36.1720,7.2975,38.7588,0.0000,4.0000,0.0010,3.0000
0.7263,36.7222,7.7488,37.4016,0.0000,4.0000,0.0010,3.0000
0.7409,35.4132,7.4308,35.9971,0.0000,4.0000,0.0010,3.0000
0.7555,35.6829,7.4571,36.5976,0.0000,4.0000,0.0010,3.0000
0.7700,35.6215,7.5308,36.8681,0.0000,4.0000,0.0010,3.0000
0.7846,36.1425,7.5821,38.0347,0.0000,4.0000,0.0010,3.0000
0.7991,39.0777,8.2243,39.2100,0.0000,4.0000,0.0010,3.0000
0.8137,36.6798,8.0407,37.5359,0.0000,4.0000,0.0010,3.0000
0.8282,36.2019,7.1828,37.6433,0.0000,4.0000,0.0010,3.0000
0.8428,33.9739,7.0067,35.5065,0.0000,4.0000,0.0010,3.0000
0.8574,35.1835,7.3388,36.5709,0.0000,4.0000,0.0010,3.0000
0.8719,33.7231,7.2344,35.6220,0.0000,4.0000,0.0010,3.0000
0.8865,34.7760,7.4004,36.2143,0.0000,4.0000,0.0010,3.0000
0.9010,38.4069,7.9855,40.0593,0.0000,4.0000,0.0010,3.0000
0.9156,36.1829,7.4406,37.0954,0.0000,4.0000,0.0010,3.0000
0.9301,33.5487,7.5689,34.2833,0.0000,4.0000,0.0010,3.0000
0.9447,33.7852,7.2861,34.6137,0.0000,4.0000,0.0010,3.0000
0.9592,36.2441,7.9187,37.3580,0.0000,4.0000,0.0010,3.0000
0.9738,33.6267,7.3680,34.8634,0.0000,4.0000,0.0010,3.0000
0.9884,37.2003,7.9911,37.9729,0.0000,4.0000,0.0010,3.0000
1.0015,-3.1965,1.4293,3.6099,-7.4147,4.0000,0.0010,3.0000
1.0160,-40.7476,7.3491,24.6736,-63.2016,4.0000,0.0010,3.0000
1.0306,-144.9639,9.2555,114.7151,-218.0023,4.0000,0.0010,3.0000
1.0451,-219.8389,15.6049,158.7170,-316.5140,4.0000,0.0010,3.0000
1.0597,-233.6895,17.3855,175.5774,-318.5480,4.0000,0.0010,3.0000
1.0742,-285.9060,17.3649,341.0943,-368.5168,4.0000,0.0010,3.0000
1.0888,-293.5706,18.2757,316.4210,-401.6791,4.0000,0.0010,3.0000
1.1033,-315.6315,18.2701,250.6417,-404.0294,4.0000,0.0010,3.0000
1.1179,-333.7630,18.8697,229.5781,-419.4845,4.0000,0.0010,3.0000
1.1325,-340.2141,19.3574,227.2773,-430.4838,4.0000,0.0010,3.0000
1.1470,-354.1889,19.5447,245.0699,-454.7451,4.0000,0.0010,3.0000
1.1616,-375.9330,19.8890,295.7848,-479.7555,4.0000,0.0010,3.0000
1.1761,-375.3011,18.9376,232.8827,-465.2888,4.0000,0.0010,3.0000
1.1907,-390.6916,19.0454,326.7629,-491.4089,4.0000,0.0010,3.0000
1.2052,-406.5469,19.9434,356.5787,-524.0585,4.0000,0.0010,3.0000
1.2198,-403.7202,20.5047,296.5412,-506.9412,4.0000,0.0010,3.0000
1.2344,-430.0493,19.5714,244.2265,-509.6648,4.0000,0.0010,3.0000
1.2489,-414.9968,20.1799,358.8605,-513.3928,4.0000,0.0010,3.0000
1.2635,-423.0236,19.9339,275.6808,-511.4087,4.0000,0.0010,3.0000
1.2780,-429.8245,18.9303,287.2842,-515.4385,4.0000,0.0010,3.0000
1.2926,-438.9463,19.4761,353.5453,-527.7442,4.0000,0.0010,3.0000
1.3071,-444.0238,19.2130,342.8194,-547.2093,4.0000,0.0010,3.0000
1.3217,-462.0299,19.8398,275.0613,-551.5467,4.0000,0.0010,3.0000
1.3362,-453.8984,19.8544,271.7068,-543.3586,4.0000,0.0010,3.0000
1.3508,-458.3948,19.3950,410.5167,-562.6324,4.0000,0.0010,3.0000
1.3654,-466.1444,19.1302,402.3458,-567.8158,4.0000,0.0010,3.0000
1.3799,-469.5264,19.9584,366.1389,-561.0810,4.0000,0.0010,3.0000
1.3945,-480.9276,19.4779,361.5071,-569.4060,4.0000,0.0010,3.0000
1.4090,-484.5902,19.8564,360.9845,-589.8923,4.0000,0.0010,3.0000
1.4236,-482.4043,19.5461,704.7149,-578.1432,4.0000,0.0010,3.0000
1.4381,-483.7703,19.4252,415.1568,-576.5019,4.0000,0.0010,3.0000
1.4527,-498.2875,18.8503,313.5389,-581.0859,4.0000,0.0010,3.0000
1.4672,-505.8997,18.6530,347.2744,-600.6549,4.0000,0.0010,3.0000
1.4818,-502.8918,18.4666,362.9285,-597.2647,4.0000,0.0010,3.0000
1.4964,-514.2324,19.2237,332.6700,-600.8512,4.0000,0.0010,3.0000
1.5109,-504.7085,18.4491,549.5016,-605.4237,4.0000,0.0010,3.0000
