epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.1707,60.3069,5.1420,55.1648,0.0000,0.0000,0.0030,1.0000
0.3431,38.9917,5.7938,33.1978,0.0000,0.0000,0.0030,1.0000
0.5155,34.6760,5.7533,28.9227,0.0000,0.0000,0.0030,1.0000
0.6879,33.8965,6.0584,27.8381,0.0000,0.0000,0.0030,1.0000
0.8603,31.8194,6.1531,25.6663,0.0000,0.0000,0.0030,1.0000
1.0310,39.5284,6.3016,26.1338,7.0930,0.0000,0.0010,1.0000
1.2034,53.1520,7.3078,19.3926,26.4515,0.0000,0.0010,1.0000
1.3759,45.7849,7.0878,15.5566,23.1405,0.0000,0.0010,1.0000
1.5483,42.5198,6.9847,14.2780,21.2570,0.0000,0.0010,1.0000
1.7207,40.8625,6.7858,13.5860,20.4907,0.0000,0.0010,1.0000
1.8931,39.6153,6.7553,13.0417,19.8183,0.0000,0.0010,1.0000
2.0638,39.1654,6.6577,12.8551,19.6526,0.0000,0.0010,1.0000
2.2362,38.5381,6.6229,12.5677,19.3475,0.0000,0.0010,1.0000
2.4086,38.2067,6.6621,12.2556,19.2890,0.0000,0.0010,1.0000
2.5810,37.3826,6.6039,11.9724,18.8063,0.0000,0.0010,1.0000
2.7534,36.8786,6.5371,11.7989,18.5425,0.0000,0.0010,1.0000
2.9259,36.1194,6.4858,11.5392,18.0945,0.0000,0.0010,1.0000
3.0966,36.3783,6.5636,11.4879,18.3268,0.0000,0.0010,1.0000
3.2690,36.2170,6.5034,11.4917,18.2219,0.0000,0.0010,1.0000
3.4414,35.7883,6.5236,11.2182,18.0464,0.0000,0.0010,1.0000
3.6138,35.5740,6.5302,11.1808,17.8630,0.0000,0.0010,1.0000
3.7862,34.9625,6.4651,10.9684,17.5290,0.0000,0.0010,1.0000
3.9586,35.1574,6.4813,10.9715,17.7046,0.0000,0.0010,1.0000
4.1293,34.7282,6.4819,10.8422,17.4042,0.0000,0.0010,1.0000
4.3017,34.8537,6.4957,10.8251,17.5329,0.0000,0.0010,1.0000
4.4741,34.7035,6.5392,10.7181,17.4463,0.0000,0.0010,1.0000
4.6466,34.4945,6.4959,10.7457,17.2529,0.0000,0.0010,1.0000
4.8190,34.1357,6.4965,10.5579,17.0812,0.0000,0.0010,1.0000
4.9914,33.6857,6.4306,10.4076,16.8475,0.0000,0.0010,1.0000
5.1621,33.6601,6.4808,10.3755,16.8038,0.0000,0.0010,1.0000
5.3345,34.1560,6.5417,10.5043,17.1100,0.0000,0.0010,1.0000
5.5069,33.7877,6.5249,10.4182,16.8447,0.0000,0.0010,1.0000
5.6793,33.5724,6.4799,10.3687,16.7237,0.0000,0.0010,1.0000
5.8517,33.3169,6.5389,10.2364,16.5416,0.0000,0.0010,1.0000
6.0224,32.8401,6.4514,10.0848,16.3039,0.0000,0.0010,1.0000
6.1948,33.2176,6.5001,10.2100,16.5075,0.0000,0.0010,1.0000
6.3672,33.4491,6.5886,10.2100,16.6505,0.0000,0.0010,1.0000
6.5397,32.7802,6.5043,10.0493,16.2265,0.0000,0.0010,1.0000
6.7121,32.9761,6.5054,10.1624,16.3082,0.0000,0.0010,1.0000
6.8845,32.4370,6.5361,9.9411,15.9598,0.0000,0.0010,1.0000
7.0552,32.4337,6.4999,9.9350,15.9988,0.0000,0.0010,1.0000
7.2276,32.5720,6.5375,9.9862,16.0483,0.0000,0.0010,1.0000
7.4000,32.6530,6.6096,9.9476,16.0958,0.0000,0.0010,1.0000
7.5724,32.3739,6.5558,9.9211,15.8970,0.0000,0.0010,1.0000
7.7448,32.2881,6.5434,9.8968,15.8479,0.0000,0.0010,1.0000
7.9172,31.7383,6.5063,9.7155,15.5165,0.0000,0.0010,1.0000
8.0879,32.2514,6.6002,9.8546,15.7966,0.0000,0.0010,1.0000
8.2603,31.9862,6.5372,9.7863,15.6627,0.0000,0.0010,1.0000
8.4328,31.9800,6.6186,9.7550,15.6064,0.0000,0.0010,1.0000
8.6052,31.8645,6.5891,9.7358,15.5396,0.0000,0.0010,1.0000
8.7776,31.6247,6.5441,9.6787,15.4019,0.0000,0.0010,1.0000
8.9500,31.6394,6.5955,9.6586,15.3853,0.0000,0.0010,1.0000
9.1207,31.6067,6.5970,9.6669,15.3428,0.0000,0.0010,1.0000
9.2931,31.5952,6.6144,9.6141,15.3667,0.0000,0.0010,1.0000
9.4655,31.4956,6.6125,9.5899,15.2932,0.0000,0.0010,1.0000
9.6379,31.4176,6.6189,9.5894,15.2093,0.0000,0.0010,1.0000
9.8103,31.1061,6.5812,9.4847,15.0403,0.0000,0.0010,1.0000
9.9828,31.0519,6.6064,9.4408,15.0047,0.0000,0.0010,1.0000
10.1534,30.9980,6.5868,9.4700,14.9412,0.0000,0.0010,1.0000
10.3259,31.3910,6.6736,9.5281,15.1893,0.0000,0.0010,1.0000
10.4983,31.2019,6.6238,9.5058,15.0723,0.0000,0.0010,1.0000
