epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.1707,88.1902,1.0128,87.1774,0.0000,0.0000,0.0030,1.0000
0.3431,77.6373,2.1595,75.4778,0.0000,0.0000,0.0030,1.0000
0.5155,73.8703,2.7619,71.1084,0.0000,0.0000,0.0030,1.0000
0.6879,66.3933,2.9218,63.4714,0.0000,0.0000,0.0030,1.0000
0.8603,62.1759,3.1644,59.0115,0.0000,0.0000,0.0030,1.0000
1.0310,70.0965,3.9111,56.2539,9.9316,0.0000,0.0010,1.0000
1.2034,79.5583,4.7260,35.1680,39.6643,0.0000,0.0010,1.0000
1.3759,60.0773,4.8882,22.8938,32.2953,0.0000,0.0010,1.0000
1.5483,55.3512,5.3585,19.2506,30.7421,0.0000,0.0010,1.0000
1.7207,50.4090,5.1688,17.8045,27.4357,0.0000,0.0010,1.0000
1.8931,47.6360,5.2472,16.3430,26.0457,0.0000,0.0010,1.0000
2.0638,45.6274,5.3254,15.1858,25.1162,0.0000,0.0010,1.0000
2.2362,45.0183,5.4010,15.0029,24.6144,0.0000,0.0010,1.0000
2.4086,42.8708,5.4860,14.0328,23.3519,0.0000,0.0010,1.0000
2.5810,41.1544,5.5325,13.4595,22.1624,0.0000,0.0010,1.0000
2.7534,40.1805,5.4870,13.1620,21.5315,0.0000,0.0010,1.0000
2.9259,38.6300,5.5217,12.4886,20.6197,0.0000,0.0010,1.0000
3.0966,38.7874,5.6895,12.5545,20.5433,0.0000,0.0010,1.0000
3.2690,39.4365,5.6294,12.8917,20.9154,0.0000,0.0010,1.0000
3.4414,37.4320,5.7070,11.9016,19.8234,0.0000,0.0010,1.0000
3.6138,37.3150,5.7122,11.9685,19.6343,0.0000,0.0010,1.0000
3.7862,38.5490,5.7532,12.4629,20.3329,0.0000,0.0010,1.0000
3.9586,36.3799,5.6703,11.4440,19.2656,0.0000,0.0010,1.0000
4.1293,36.5107,5.7590,11.9018,18.8499,0.0000,0.0010,1.0000
4.3017,36.1211,5.7661,11.5026,18.8524,0.0000,0.0010,1.0000
4.4741,36.0627,5.8551,11.4068,18.8008,0.0000,0.0010,1.0000
4.6466,35.3574,5.8737,11.1427,18.3410,0.0000,0.0010,1.0000
4.8190,34.3609,5.8823,10.8507,17.6279,0.0000,0.0010,1.0000
4.9914,33.7935,5.8615,10.6257,17.3063,0.0000,0.0010,1.0000
5.1621,34.0430,5.9672,10.8097,17.2661,0.0000,0.0010,1.0000
5.3345,35.0279,6.0758,10.9245,18.0276,0.0000,0.0010,1.0000
5.5069,33.2803,6.0652,10.3473,16.8677,0.0000,0.0010,1.0000
5.6793,35.1547,6.1648,11.0064,17.9835,0.0000,0.0010,1.0000
5.8517,32.7350,6.0593,10.3023,16.3734,0.0000,0.0010,1.0000
6.0224,32.8682,6.1110,10.3998,16.3575,0.0000,0.0010,1.0000
6.1948,32.5681,6.0908,10.1519,16.3254,0.0000,0.0010,1.0000
6.3672,32.4997,6.2710,10.0805,16.1482,0.0000,0.0010,1.0000
6.5397,32.1727,6.2579,10.0124,15.9024,0.0000,0.0010,1.0000
6.7121,36.5348,6.1998,11.2539,19.0811,0.0000,0.0010,1.0000
6.8845,33.5246,6.1354,10.8397,16.5495,0.0000,0.0010,1.0000
7.0552,35.2115,6.1568,11.6717,17.3830,0.0000,0.0010,1.0000
7.2276,34.1797,6.1300,10.7962,17.2535,0.0000,0.0010,1.0000
7.4000,33.5318,6.2588,10.7073,16.5657,0.0000,0.0010,1.0000
7.5724,33.4537,6.2101,10.2636,16.9800,0.0000,0.0010,1.0000
7.7448,31.9849,6.2079,10.0589,15.7181,0.0000,0.0010,1.0000
7.9172,31.2391,6.2409,9.6896,15.3086,0.0000,0.0010,1.0000
8.0879,31.3256,6.2664,9.8594,15.1998,0.0000,0.0010,1.0000
8.2603,31.5710,6.3131,9.8817,15.3761,0.0000,0.0010,1.0000
8.4328,31.0945,6.3629,9.6777,15.0539,0.0000,0.0010,1.0000
8.6052,30.7724,6.3293,9.4608,14.9824,0.0000,0.0010,1.0000
8.7776,30.5865,6.3663,9.4558,14.7645,0.0000,0.0010,1.0000
8.9500,32.9444,6.4024,10.2623,16.2796,0.0000,0.0010,1.0000
9.1207,30.8336,6.2811,9.5133,15.0392,0.0000,0.0010,1.0000
9.2931,32.5937,6.3436,10.3479,15.9022,0.0000,0.0010,1.0000
9.4655,34.1317,6.3114,10.7058,17.1146,0.0000,0.0010,1.0000
9.6379,39.8103,6.2095,14.1653,19.4355,0.0000,0.0010,1.0000
9.8103,39.2128,6.2632,12.1522,20.7974,0.0000,0.0010,1.0000
9.9828,37.4936,5.9426,11.5475,20.0035,0.0000,0.0010,1.0000
