epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.0155,294.5424,3.4467,87.7982,203.2974,0.0000,0.0090,10.0000
0.0328,276.1781,3.9952,78.8079,193.3749,0.0000,0.0090,10.0000
0.0500,254.7979,3.2167,77.4187,174.1626,0.0000,0.0090,10.0000
0.0672,261.7305,2.7400,81.7720,177.2185,0.0000,0.0090,10.0000
0.0845,236.5639,4.0254,68.2171,164.3214,0.0000,0.0090,10.0000
0.1017,246.6512,3.8528,81.0197,161.7786,0.0000,0.0090,10.0000
0.1190,233.0724,3.8656,68.4313,160.7754,0.0000,0.0090,10.0000
0.1362,223.3686,4.3639,67.0205,151.9841,0.0000,0.0090,10.0000
0.1534,216.2941,4.5415,70.3602,141.3924,0.0000,0.0090,10.0000
0.1707,211.1902,3.9875,70.5844,136.6182,0.0000,0.0090,10.0000
0.1879,205.2716,4.0786,66.0928,135.1003,0.0000,0.0090,10.0000
0.2052,205.1823,3.7108,69.0290,132.4425,0.0000,0.0090,10.0000
0.2224,203.6302,3.6296,64.3661,135.6346,0.0000,0.0090,10.0000
0.2397,201.9981,3.4353,70.0300,128.5328,0.0000,0.0090,10.0000
0.2569,204.9191,3.4347,65.9504,135.5341,0.0000,0.0090,10.0000
0.2741,201.1259,3.5452,63.5910,133.9896,0.0000,0.0090,10.0000
0.2914,200.0274,3.9454,64.8202,131.2618,0.0000,0.0090,10.0000
0.3086,195.5208,3.6839,65.6797,126.1571,0.0000,0.0090,10.0000
0.3259,199.2923,3.7399,64.6251,130.9272,0.0000,0.0090,10.0000
0.3431,197.5816,4.0065,63.9615,129.6136,0.0000,0.0090,10.0000
0.3603,192.4542,3.9171,64.4968,124.0403,0.0000,0.0090,10.0000
0.3776,195.7637,3.8464,64.8040,127.1132,0.0000,0.0090,10.0000
0.3948,192.3187,4.2447,62.0476,126.0264,0.0000,0.0090,10.0000
0.4121,189.2114,4.3631,62.5371,122.3111,0.0000,0.0090,10.0000
0.4293,188.3790,4.5265,62.7738,121.0787,0.0000,0.0090,10.0000
0.4466,186.1362,4.5698,62.1117,119.4546,0.0000,0.0090,10.0000
0.4638,187.6061,4.5584,61.0789,121.9689,0.0000,0.0090,10.0000
0.4810,193.2564,4.7818,65.6061,122.8684,0.0000,0.0090,10.0000
