epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.1707,3.0978,7.9199,61.5411,-66.3632,0.0000,0.0010,1.0000
0.3431,-42.3371,10.3686,57.3613,-110.0671,0.0000,0.0010,1.0000
0.5155,-51.1289,11.0882,56.0785,-118.2957,0.0000,0.0010,1.0000
0.6879,-55.3823,10.9052,54.7205,-121.0080,0.0000,0.0010,1.0000
0.8603,-57.7138,10.9031,54.1579,-122.7748,0.0000,0.0010,1.0000
1.0310,-11.6357,2.0568,9.9489,-23.6414,0.0000,0.0003,1.0000
1.2034,-60.4521,11.0425,53.0039,-124.4985,0.0000,0.0003,1.0000
1.3759,-60.9257,10.8916,53.0591,-124.8763,0.0000,0.0003,1.0000
1.5483,-61.9928,10.9070,52.6329,-125.5327,0.0000,0.0003,1.0000
1.7207,-62.1735,10.9053,52.7640,-125.8428,0.0000,0.0003,1.0000
1.8931,-62.2203,10.9402,52.5285,-125.6891,0.0000,0.0003,1.0000
2.0638,-24.1877,4.1597,19.8014,-48.1488,0.0000,0.0003,1.0000
2.2362,-62.7148,10.9152,52.5191,-126.1491,0.0000,0.0003,1.0000
2.4086,-62.7234,10.9346,52.4874,-126.1454,0.0000,0.0003,1.0000
2.5810,-64.1614,10.8206,52.1281,-127.1101,0.0000,0.0003,1.0000
2.7534,-64.4248,10.8883,52.1434,-127.4566,0.0000,0.0003,1.0000
2.9259,-64.3051,10.8271,52.0955,-127.2278,0.0000,0.0003,1.0000
3.0966,-36.8098,6.1813,29.6429,-72.6339,0.0000,0.0003,1.0000
3.2690,-65.1757,10.8631,51.9604,-127.9992,0.0000,0.0003,1.0000
3.4414,-64.4948,10.8132,52.1115,-127.4195,0.0000,0.0003,1.0000
3.6138,-66.1716,10.7286,51.7307,-128.6309,0.0000,0.0003,1.0000
3.7862,-65.9090,10.8101,51.8461,-128.5652,0.0000,0.0003,1.0000
3.9586,-66.5010,10.7001,51.6283,-128.8294,0.0000,0.0003,1.0000
4.1293,-50.2040,8.1733,39.3121,-97.6894,0.0000,0.0003,1.0000
4.3017,-67.1174,10.7516,51.5127,-129.3816,0.0000,0.0003,1.0000
4.4741,-66.5428,10.6942,51.7878,-129.0248,0.0000,0.0003,1.0000
4.6466,-66.9656,10.6760,51.5801,-129.2216,0.0000,0.0003,1.0000
4.8190,-67.7817,10.7124,51.4275,-129.9217,0.0000,0.0003,1.0000
4.9914,-68.0796,10.6760,51.3857,-130.1412,0.0000,0.0003,1.0000
5.1621,-63.8068,10.1965,48.9765,-122.9798,0.0000,0.0003,1.0000
5.3345,-68.0721,10.6036,51.2581,-129.9338,0.0000,0.0003,1.0000
5.5069,-68.2235,10.6524,51.4449,-130.3208,0.0000,0.0003,1.0000
5.6793,-67.8662,10.5724,51.4682,-129.9068,0.0000,0.0003,1.0000
5.8517,-68.5977,10.6692,51.2090,-130.4759,0.0000,0.0003,1.0000
6.0224,-9.6900,1.5029,7.2258,-18.4187,0.0000,0.0003,1.0000
6.1948,-68.0014,10.6844,51.2352,-129.9210,0.0000,0.0003,1.0000
6.3672,-69.0816,10.5466,51.2525,-130.8807,0.0000,0.0003,1.0000
6.5397,-68.7043,10.6048,51.2091,-130.5183,0.0000,0.0003,1.0000
6.7121,-68.5925,10.5468,51.4140,-130.5533,0.0000,0.0003,1.0000
6.8845,-69.9209,10.6487,50.8135,-131.3832,0.0000,0.0003,1.0000
7.0552,-23.0946,3.4749,16.8217,-43.3911,0.0000,0.0003,1.0000
7.2276,-68.7284,10.6117,51.2056,-130.5457,0.0000,0.0003,1.0000
7.4000,-68.6318,10.6014,51.3492,-130.5824,0.0000,0.0003,1.0000
7.5724,-69.3295,10.5149,51.1244,-130.9688,0.0000,0.0003,1.0000
7.7448,-69.7773,10.5121,51.0042,-131.2936,0.0000,0.0003,1.0000
7.9172,-69.4940,10.5863,51.0786,-131.1589,0.0000,0.0003,1.0000
8.0879,-36.1737,5.5174,26.5271,-68.2183,0.0000,0.0003,1.0000
8.2603,-70.0634,10.5229,50.9258,-131.5121,0.0000,0.0003,1.0000
8.4328,-68.6617,10.5738,51.3136,-130.5491,0.0000,0.0003,1.0000
8.6052,-70.0334,10.4761,50.9432,-131.4527,0.0000,0.0003,1.0000
8.7776,-70.0523,10.5573,50.9732,-131.5829,0.0000,0.0003,1.0000
8.9500,-69.9446,10.5020,50.9263,-131.3730,0.0000,0.0003,1.0000
9.1207,-49.2988,7.4728,36.2690,-93.0405,0.0000,0.0003,1.0000
9.2931,-70.4254,10.5142,50.7667,-131.7063,0.0000,0.0003,1.0000
9.4655,-69.7032,10.5205,51.1030,-131.3268,0.0000,0.0003,1.0000
9.6379,-70.3293,10.4582,50.8427,-131.6302,0.0000,0.0003,1.0000
9.8103,-70.7260,10.5514,50.8101,-132.0875,0.0000,0.0003,1.0000
9.9828,-70.8438,10.4678,50.7492,-132.0608,0.0000,0.0003,1.0000
10.1534,-63.0294,9.4844,45.8581,-118.3718,0.0000,0.0003,1.0000
10.3259,-70.2571,10.4699,50.8307,-131.5576,0.0000,0.0003,1.0000
10.4983,-70.2252,10.4882,50.8866,-131.6000,0.0000,0.0003,1.0000
10.6707,-70.6073,10.4655,50.8466,-131.9194,0.0000,0.0003,1.0000
10.8431,-70.8089,10.5147,50.6997,-132.0232,0.0000,0.0003,1.0000
11.0138,-6.2972,0.9559,4.5695,-11.8226,0.0000,0.0001,1.0000
11.1862,-70.5269,10.5481,50.6397,-131.7147,0.0000,0.0001,1.0000
