epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.0155,63.4106,4.1719,78.3161,0.0000,10.0000,0.0090,3.0000
0.0328,50.3304,2.8281,92.4606,0.0000,10.0000,0.0090,3.0000
0.0500,39.2128,2.4317,78.9623,0.0000,10.0000,0.0090,3.0000
0.0672,42.2143,2.8566,74.1126,0.0000,10.0000,0.0090,3.0000
0.0845,44.1831,3.7107,74.3044,0.0000,10.0000,0.0090,3.0000
0.1017,35.5137,2.3863,53.2986,0.0000,10.0000,0.0090,3.0000
0.1190,33.8629,2.5250,43.7865,0.0000,10.0000,0.0090,3.0000
0.1362,34.5274,2.8062,47.7280,0.0000,10.0000,0.0090,3.0000
0.1534,37.5136,3.0788,66.6736,0.0000,10.0000,0.0090,3.0000
0.1707,34.4173,3.0891,51.7357,0.0000,10.0000,0.0090,3.0000
0.1879,35.4399,3.0793,52.0820,0.0000,10.0000,0.0090,3.0000
0.2052,35.2754,3.0588,59.1522,0.0000,10.0000,0.0090,3.0000
0.2224,36.4623,3.1346,54.4780,0.0000,10.0000,0.0090,3.0000
0.2397,40.4633,3.2731,60.6801,0.0000,10.0000,0.0090,3.0000
0.2569,42.1516,4.0712,71.4578,0.0000,10.0000,0.0090,3.0000
0.2741,35.0483,3.3605,46.6362,0.0000,10.0000,0.0090,3.0000
0.2914,35.6727,3.0641,48.6948,0.0000,10.0000,0.0090,3.0000
0.3086,37.0671,3.6237,51.6469,0.0000,10.0000,0.0090,3.0000
0.3259,41.4265,3.2890,69.6305,0.0000,10.0000,0.0090,3.0000
0.3431,36.0193,3.9989,68.7870,0.0000,10.0000,0.0090,3.0000
0.3603,39.9909,3.1113,79.7284,0.0000,10.0000,0.0090,3.0000
0.3776,47.0189,3.6484,87.0966,0.0000,10.0000,0.0090,3.0000
0.3948,36.8037,2.9563,56.6294,0.0000,10.0000,0.0090,3.0000
0.4121,31.6945,2.7865,50.9000,0.0000,10.0000,0.0090,3.0000
0.4293,36.9764,3.6095,73.4558,0.0000,10.0000,0.0090,3.0000
0.4466,37.6536,3.6170,53.9018,0.0000,10.0000,0.0090,3.0000
0.4638,35.1832,3.5331,46.8862,0.0000,10.0000,0.0090,3.0000
0.4810,31.5193,2.8807,39.8082,0.0000,10.0000,0.0090,3.0000
0.4983,32.4892,3.3680,40.2419,0.0000,10.0000,0.0090,3.0000
0.5155,30.8961,2.8632,37.0423,0.0000,10.0000,0.0090,3.0000
0.5328,29.9925,2.9054,38.2043,0.0000,10.0000,0.0090,3.0000
0.5500,35.0557,3.3978,44.4947,0.0000,10.0000,0.0090,3.0000
0.5672,35.4862,3.3180,52.8798,0.0000,10.0000,0.0090,3.0000
0.5845,30.6498,2.9161,44.1255,0.0000,10.0000,0.0090,3.0000
0.6017,36.3707,2.9471,55.8011,0.0000,10.0000,0.0090,3.0000
0.6190,34.6284,3.4083,49.2724,0.0000,10.0000,0.0090,3.0000
0.6362,36.0432,2.9794,46.6657,0.0000,10.0000,0.0090,3.0000
