epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.0155,2.0022,0.5803,1.2969,-0.2910,0.0000,0.0100,1.0000
0.0328,1.5170,0.1739,1.0703,-0.2220,0.0000,0.0100,1.0000
0.0500,1.3519,0.1057,0.9106,-0.2561,0.0000,0.0100,1.0000
0.0672,1.4182,0.1524,1.0667,-0.3729,0.0000,0.0100,1.0000
0.0845,1.2832,0.1085,0.8965,-0.3850,0.0000,0.0100,1.0000
0.1017,1.3130,0.1290,0.9647,-0.4345,0.0000,0.0100,1.0000
0.1190,1.4192,0.1493,1.1819,-0.4800,0.0000,0.0100,1.0000
0.1362,1.4368,0.2694,0.8839,-0.3871,0.0000,0.0100,1.0000
0.1534,1.3756,0.1887,0.9692,-0.4332,0.0000,0.0100,1.0000
0.1707,1.5205,0.2523,1.1120,-0.4134,0.0000,0.0100,1.0000
0.1879,1.3619,0.1515,1.0309,-0.4478,0.0000,0.0100,1.0000
0.2052,1.2569,0.1126,0.8771,-0.4264,0.0000,0.0100,1.0000
0.2224,1.3099,0.1106,1.0617,-0.5010,0.0000,0.0100,1.0000
0.2397,1.2096,0.0900,0.9244,-0.5232,0.0000,0.0100,1.0000
0.2569,1.2125,0.0672,1.0055,-0.5527,0.0000,0.0100,1.0000
0.2741,1.2500,0.1041,1.0417,-0.5877,0.0000,0.0100,1.0000
0.2914,1.2041,0.0913,1.0327,-0.6450,0.0000,0.0100,1.0000
0.3086,1.1627,0.0812,0.9768,-0.6517,0.0000,0.0100,1.0000
0.3259,1.2380,0.1135,1.0366,-0.6255,0.0000,0.0100,1.0000
0.3431,1.2758,0.1434,1.0294,-0.6025,0.0000,0.0100,1.0000
0.3603,1.2449,0.0865,1.0147,-0.5360,0.0000,0.0100,1.0000
0.3776,1.1500,0.0734,0.9027,-0.5873,0.0000,0.0100,1.0000
0.3948,1.1697,0.0687,1.0059,-0.6418,0.0000,0.0100,1.0000
0.4121,1.2461,0.1166,1.1135,-0.6924,0.0000,0.0100,1.0000
0.4293,1.2437,0.1297,1.0140,-0.6240,0.0000,0.0100,1.0000
0.4466,1.1942,0.0833,0.9718,-0.5878,0.0000,0.0100,1.0000
0.4638,1.2275,0.0929,1.0109,-0.5795,0.0000,0.0100,1.0000
0.4810,1.1476,0.1064,0.9521,-0.7077,0.0000,0.0100,1.0000
0.4983,1.4790,0.2893,1.1543,-0.6128,0.0000,0.0100,1.0000
0.5155,1.2835,0.1168,1.0026,-0.5071,0.0000,0.0100,1.0000
0.5328,1.2560,0.1027,0.9647,-0.4959,0.0000,0.0100,1.0000
0.5500,1.2401,0.1088,0.9659,-0.5411,0.0000,0.0100,1.0000
0.5672,1.3198,0.1922,1.0503,-0.6331,0.0000,0.0100,1.0000
0.5845,1.3401,0.1754,1.1137,-0.6222,0.0000,0.0100,1.0000
