epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.0155,312.4517,0.3500,105.5653,206.5364,0.0000,0.0030,10.0000
0.0328,281.3615,1.6715,68.5809,211.1090,0.0000,0.0030,10.0000
0.0500,258.7524,2.7081,67.7307,188.3136,0.0000,0.0030,10.0000
0.0672,245.4285,3.2190,70.1297,172.0798,0.0000,0.0030,10.0000
0.0845,234.7235,2.8540,71.3680,160.5015,0.0000,0.0030,10.0000
0.1017,234.2694,3.9133,74.8681,155.4880,0.0000,0.0030,10.0000
0.1190,223.3568,4.2731,69.4537,149.6301,0.0000,0.0030,10.0000
0.1362,216.3997,4.0904,65.8096,146.4997,0.0000,0.0030,10.0000
0.1534,213.9039,4.6430,68.8043,140.4566,0.0000,0.0030,10.0000
0.1707,215.0911,4.8737,68.0170,142.2004,0.0000,0.0030,10.0000
0.1879,209.5386,4.3920,66.1725,138.9741,0.0000,0.0030,10.0000
0.2052,207.0871,4.2951,67.4206,135.3714,0.0000,0.0030,10.0000
0.2224,202.7756,4.3271,65.9978,132.4507,0.0000,0.0030,10.0000
0.2397,201.3925,4.3421,65.4452,131.6051,0.0000,0.0030,10.0000
0.2569,197.6090,3.9968,63.6260,129.9862,0.0000,0.0030,10.0000
0.2741,203.1117,3.9115,68.8831,130.3172,0.0000,0.0030,10.0000
0.2914,198.4521,3.8005,65.0419,129.6096,0.0000,0.0030,10.0000
0.3086,199.5535,3.8123,65.4393,130.3018,0.0000,0.0030,10.0000
0.3259,195.6870,3.8834,65.3841,126.4195,0.0000,0.0030,10.0000
0.3431,196.9933,4.1787,65.1854,127.6291,0.0000,0.0030,10.0000
0.3603,195.3717,4.5436,64.7958,126.0323,0.0000,0.0030,10.0000
0.3776,187.0551,4.7544,60.3086,121.9921,0.0000,0.0030,10.0000
0.3948,187.2534,4.9567,63.4257,118.8709,0.0000,0.0030,10.0000
0.4121,188.4924,4.9405,62.7767,120.7752,0.0000,0.0030,10.0000
0.4293,185.4172,5.0600,60.0114,120.3458,0.0000,0.0030,10.0000
0.4466,181.5709,4.9025,60.3761,116.2922,0.0000,0.0030,10.0000
0.4638,188.6108,4.9947,65.4484,118.1677,0.0000,0.0030,10.0000
0.4810,181.2830,4.8455,58.2073,118.2301,0.0000,0.0030,10.0000
0.4983,180.4003,4.8414,60.3191,115.2399,0.0000,0.0030,10.0000
0.5155,184.0715,4.8877,62.5899,116.5939,0.0000,0.0030,10.0000
0.5328,180.4822,4.8488,59.4706,116.1627,0.0000,0.0030,10.0000
0.5500,187.4960,4.9044,62.2179,120.3737,0.0000,0.0030,10.0000
0.5672,186.9315,5.0046,61.3092,120.6177,0.0000,0.0030,10.0000
0.5845,180.9455,4.8403,62.4146,113.6906,0.0000,0.0030,10.0000
0.6017,180.6593,4.7485,58.9394,116.9714,0.0000,0.0030,10.0000
0.6190,183.3252,4.8760,62.0531,116.3961,0.0000,0.0030,10.0000
0.6362,180.5092,4.8449,58.2426,117.4217,0.0000,0.0030,10.0000
0.6534,180.3051,4.9659,61.1158,114.2234,0.0000,0.0030,10.0000
0.6707,182.6359,5.1041,61.7308,115.8011,0.0000,0.0030,10.0000
0.6879,177.9168,5.2244,58.8834,113.8090,0.0000,0.0030,10.0000
0.7052,178.8676,5.1598,60.0471,113.6607,0.0000,0.0030,10.0000
0.7224,175.6473,5.2774,58.1632,112.2066,0.0000,0.0030,10.0000
0.7397,180.1280,5.7034,59.7531,114.6715,0.0000,0.0030,10.0000
0.7569,175.3848,6.0655,58.5519,110.7674,0.0000,0.0030,10.0000
0.7741,177.5876,6.5052,61.0755,110.0069,0.0000,0.0030,10.0000
0.7914,176.7240,6.6033,58.4475,111.6732,0.0000,0.0030,10.0000
0.8086,169.2463,6.3989,57.2328,105.6146,0.0000,0.0030,10.0000
0.8259,175.1891,6.4834,59.0836,109.6221,0.0000,0.0030,10.0000
0.8431,173.4768,6.4770,58.1866,108.8132,0.0000,0.0030,10.0000
0.8603,169.1588,6.3925,57.5774,105.1889,0.0000,0.0030,10.0000
0.8776,168.9131,6.5452,56.7405,105.6274,0.0000,0.0030,10.0000
0.8948,169.8028,6.8215,57.7561,105.2251,0.0000,0.0030,10.0000
0.9121,172.6572,6.8778,57.1831,108.5964,0.0000,0.0030,10.0000
0.9293,169.1626,6.8010,57.3735,104.9881,0.0000,0.0030,10.0000
0.9466,169.3343,6.7165,57.2515,105.3663,0.0000,0.0030,10.0000
0.9638,165.9128,6.4725,55.1081,104.3322,0.0000,0.0030,10.0000
0.9810,166.6577,6.4965,57.6014,102.5599,0.0000,0.0030,10.0000
0.9983,172.3513,6.7485,57.6010,108.0019,0.0000,0.0030,10.0000
1.0138,150.4233,6.0175,49.8383,94.5675,0.0000,0.0010,10.0000
1.0310,162.4198,6.6606,55.0787,100.6805,0.0000,0.0010,10.0000
1.0483,165.2480,6.7035,56.2555,102.2890,0.0000,0.0010,10.0000
1.0655,168.2635,6.8332,57.6721,103.7581,0.0000,0.0010,10.0000
1.0828,165.2583,6.8230,55.6513,102.7840,0.0000,0.0010,10.0000
1.1000,169.3990,6.7789,56.0037,106.6165,0.0000,0.0010,10.0000
1.1172,166.4906,6.8040,57.1857,102.5009,0.0000,0.0010,10.0000
1.1345,165.9489,6.8716,56.0256,103.0517,0.0000,0.0010,10.0000
1.1517,163.2113,6.8634,55.3461,101.0018,0.0000,0.0010,10.0000
1.1690,168.7132,6.8929,57.7194,104.1008,0.0000,0.0010,10.0000
1.1862,167.8007,6.9009,55.7960,105.1038,0.0000,0.0010,10.0000
1.2034,162.3168,6.7653,53.7194,101.8321,0.0000,0.0010,10.0000
1.2207,164.2021,6.8084,58.0546,99.3392,0.0000,0.0010,10.0000
1.2379,162.6121,6.8248,54.5842,101.2031,0.0000,0.0010,10.0000
1.2552,164.6384,6.8120,55.5427,102.2836,0.0000,0.0010,10.0000
1.2724,167.2830,6.8365,56.7947,103.6517,0.0000,0.0010,10.0000
1.2897,165.5532,6.8012,55.3792,103.3727,0.0000,0.0010,10.0000
1.3069,163.3417,6.7708,56.2487,100.3221,0.0000,0.0010,10.0000
1.3241,169.0503,6.8721,57.3311,104.8471,0.0000,0.0010,10.0000
1.3414,163.7716,6.8543,53.0599,103.8574,0.0000,0.0010,10.0000
1.3586,165.3044,6.8520,57.7930,100.6594,0.0000,0.0010,10.0000
1.3759,168.1733,6.9021,56.6828,104.5884,0.0000,0.0010,10.0000
1.3931,167.2463,6.9600,56.8523,103.4340,0.0000,0.0010,10.0000
1.4103,161.4906,6.8557,54.8362,99.7987,0.0000,0.0010,10.0000
1.4276,167.8348,6.8857,57.6222,103.3268,0.0000,0.0010,10.0000
1.4448,163.0092,6.8565,54.8386,101.3141,0.0000,0.0010,10.0000
1.4621,162.9790,6.7506,56.1196,100.1088,0.0000,0.0010,10.0000
1.4793,163.6074,6.7176,55.6275,101.2623,0.0000,0.0010,10.0000
1.4966,166.9854,6.8238,56.0935,104.0681,0.0000,0.0010,10.0000
1.5138,162.8430,6.9350,54.7188,101.1893,0.0000,0.0010,10.0000
1.5310,164.5750,6.9446,55.7843,101.8461,0.0000,0.0010,10.0000
1.5483,165.7867,6.8658,56.4983,102.4227,0.0000,0.0010,10.0000
1.5655,161.5563,6.7931,54.3142,100.4489,0.0000,0.0010,10.0000
1.5828,165.9695,6.8960,57.4793,101.5942,0.0000,0.0010,10.0000
1.6000,163.9095,6.8752,55.0850,101.9493,0.0000,0.0010,10.0000
1.6172,161.7381,6.7587,55.5311,99.4483,0.0000,0.0010,10.0000
1.6345,168.3065,6.7793,57.9154,103.6118,0.0000,0.0010,10.0000
1.6517,164.8596,6.7510,55.7455,102.3630,0.0000,0.0010,10.0000
1.6690,164.6577,6.7534,55.2127,102.6915,0.0000,0.0010,10.0000
1.6862,163.9768,6.7564,54.8544,102.3661,0.0000,0.0010,10.0000
1.7034,164.5182,6.8668,57.9336,99.7178,0.0000,0.0010,10.0000
1.7207,162.0199,6.8217,53.0542,102.1440,0.0000,0.0010,10.0000
1.7379,162.6461,6.7971,55.8740,99.9750,0.0000,0.0010,10.0000
1.7552,164.9995,6.8454,57.8048,100.3494,0.0000,0.0010,10.0000
1.7724,162.7576,6.8338,54.3067,101.6171,0.0000,0.0010,10.0000
1.7897,163.7592,6.8960,55.6859,101.1773,0.0000,0.0010,10.0000
1.8069,162.4833,6.8197,54.7903,100.8733,0.0000,0.0010,10.0000
1.8241,165.5630,6.8250,57.3365,101.4015,0.0000,0.0010,10.0000
1.8414,165.2174,6.9421,55.7206,102.5546,0.0000,0.0010,10.0000
1.8586,164.0726,6.8581,55.5847,101.6298,0.0000,0.0010,10.0000
1.8759,163.9520,6.8549,55.3427,101.7543,0.0000,0.0010,10.0000
1.8931,164.1894,6.8564,55.6237,101.7093,0.0000,0.0010,10.0000
1.9103,166.5472,6.8885,57.3373,102.3214,0.0000,0.0010,10.0000
1.9276,163.6693,6.8906,55.2333,101.5454,0.0000,0.0010,10.0000
1.9448,158.8624,6.9173,55.1982,96.7470,0.0000,0.0010,10.0000
1.9621,159.4041,6.7804,53.3249,99.2988,0.0000,0.0010,10.0000
1.9793,164.7110,6.7854,55.9043,102.0213,0.0000,0.0010,10.0000
1.9966,161.4854,6.7801,54.5514,100.1539,0.0000,0.0010,10.0000
2.0121,130.1063,5.5477,43.8205,80.7381,0.0000,0.0010,10.0000
2.0293,160.1041,6.9477,55.1997,97.9567,0.0000,0.0010,10.0000
2.0466,161.3579,6.8715,55.0372,99.4492,0.0000,0.0010,10.0000
2.0638,165.7167,6.8804,56.4406,102.3957,0.0000,0.0010,10.0000
2.0810,163.6354,6.9139,55.1953,101.5262,0.0000,0.0010,10.0000
2.0983,167.6025,6.8617,56.3890,104.3518,0.0000,0.0010,10.0000
2.1155,165.2368,6.8986,56.2026,102.1356,0.0000,0.0010,10.0000
2.1328,163.7870,6.9488,54.8847,101.9535,0.0000,0.0010,10.0000
2.1500,161.0303,6.9040,54.4221,99.7041,0.0000,0.0010,10.0000
2.1672,165.9881,6.9433,56.4606,102.5842,0.0000,0.0010,10.0000
2.1845,164.3090,6.9486,55.1938,102.1666,0.0000,0.0010,10.0000
2.2017,162.8058,6.8765,54.3222,101.6070,0.0000,0.0010,10.0000
2.2190,161.3535,6.8402,57.3062,97.2070,0.0000,0.0010,10.0000
2.2362,159.8607,6.8634,53.2358,99.7615,0.0000,0.0010,10.0000
2.2534,162.7723,6.8021,55.2985,100.6717,0.0000,0.0010,10.0000
2.2707,165.7378,6.9625,56.5045,102.2708,0.0000,0.0010,10.0000
2.2879,163.2963,6.9745,54.2754,102.0464,0.0000,0.0010,10.0000
2.3052,160.4958,6.8468,55.2428,98.4061,0.0000,0.0010,10.0000
2.3224,167.0437,6.8836,57.1355,103.0246,0.0000,0.0010,10.0000
2.3397,163.8163,6.8789,53.3646,103.5728,0.0000,0.0010,10.0000
2.3569,162.7553,6.8867,56.9365,98.9320,0.0000,0.0010,10.0000
2.3741,166.0003,6.9864,56.6184,102.3955,0.0000,0.0010,10.0000
2.3914,165.7374,6.9613,55.4034,103.3727,0.0000,0.0010,10.0000
2.4086,161.5446,6.8490,54.5557,100.1400,0.0000,0.0010,10.0000
2.4259,166.6525,6.8866,57.3644,102.4016,0.0000,0.0010,10.0000
2.4431,161.3411,6.9194,54.1750,100.2467,0.0000,0.0010,10.0000
2.4603,159.8195,6.8063,54.2717,98.7416,0.0000,0.0010,10.0000
