epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.1707,59.1610,7.1523,52.0087,0.0000,0.0000,0.0030,1.0000
0.3431,46.1884,7.9945,38.1939,0.0000,0.0000,0.0030,1.0000
0.5155,40.6819,7.9627,32.7192,0.0000,0.0000,0.0030,1.0000
0.6879,39.0194,7.7211,31.2984,0.0000,0.0000,0.0030,1.0000
0.8603,35.3383,7.3702,27.9680,0.0000,0.0000,0.0030,1.0000
1.0310,44.8508,7.3549,29.0511,8.4447,0.0000,0.0010,1.0000
1.2034,65.4833,8.9239,24.7671,31.7923,0.0000,0.0010,1.0000
1.3759,59.6335,9.1904,21.5674,28.8757,0.0000,0.0010,1.0000
1.5483,53.5149,8.6048,18.6200,26.2901,0.0000,0.0010,1.0000
1.7207,51.5568,8.3051,17.7866,25.4651,0.0000,0.0010,1.0000
1.8931,49.5674,8.0541,16.9774,24.5360,0.0000,0.0010,1.0000
2.0638,48.4812,7.9306,16.4504,24.1002,0.0000,0.0010,1.0000
2.2362,48.0244,7.8936,16.2235,23.9073,0.0000,0.0010,1.0000
2.4086,47.8206,7.9940,15.9070,23.9196,0.0000,0.0010,1.0000
2.5810,46.8740,7.8437,15.6881,23.3423,0.0000,0.0010,1.0000
2.7534,46.0456,7.7599,15.3526,22.9331,0.0000,0.0010,1.0000
2.9259,45.2560,7.6852,15.0383,22.5326,0.0000,0.0010,1.0000
3.0966,45.6238,7.7080,15.1308,22.7850,0.0000,0.0010,1.0000
3.2690,45.4759,7.7181,15.1175,22.6402,0.0000,0.0010,1.0000
3.4414,44.8492,7.6618,14.7731,22.4142,0.0000,0.0010,1.0000
3.6138,44.8352,7.6633,14.7582,22.4137,0.0000,0.0010,1.0000
3.7862,44.0557,7.6043,14.5148,21.9366,0.0000,0.0010,1.0000
3.9586,44.2350,7.6004,14.5378,22.0968,0.0000,0.0010,1.0000
4.1293,43.9016,7.6135,14.4245,21.8636,0.0000,0.0010,1.0000
4.3017,44.0080,7.6171,14.3816,22.0093,0.0000,0.0010,1.0000
4.4741,43.7709,7.5934,14.2638,21.9137,0.0000,0.0010,1.0000
4.6466,43.6680,7.5565,14.3050,21.8066,0.0000,0.0010,1.0000
4.8190,43.2214,7.5288,14.0999,21.5926,0.0000,0.0010,1.0000
4.9914,42.7125,7.4987,13.8719,21.3418,0.0000,0.0010,1.0000
5.1621,42.8241,7.4874,13.9520,21.3847,0.0000,0.0010,1.0000
5.3345,43.3449,7.5447,14.0447,21.7555,0.0000,0.0010,1.0000
5.5069,42.8808,7.4989,13.8931,21.4889,0.0000,0.0010,1.0000
5.6793,42.8267,7.4672,13.8778,21.4818,0.0000,0.0010,1.0000
5.8517,42.3380,7.4277,13.7243,21.1860,0.0000,0.0010,1.0000
6.0224,41.8342,7.3959,13.4685,20.9699,0.0000,0.0010,1.0000
6.1948,42.3488,7.4322,13.6843,21.2322,0.0000,0.0010,1.0000
6.3672,42.6607,7.4256,13.7062,21.5289,0.0000,0.0010,1.0000
6.5397,41.9306,7.3967,13.4353,21.0987,0.0000,0.0010,1.0000
6.7121,42.0552,7.3575,13.5805,21.1172,0.0000,0.0010,1.0000
6.8845,41.4590,7.2934,13.3420,20.8235,0.0000,0.0010,1.0000
7.0552,41.3077,7.3175,13.1763,20.8139,0.0000,0.0010,1.0000
7.2276,41.7801,7.3205,13.4432,21.0164,0.0000,0.0010,1.0000
7.4000,41.7218,7.3190,13.2815,21.1213,0.0000,0.0010,1.0000
7.5724,41.4426,7.2812,13.1888,20.9726,0.0000,0.0010,1.0000
7.7448,41.3304,7.2454,13.2584,20.8265,0.0000,0.0010,1.0000
7.9172,40.6915,7.2085,12.9772,20.5058,0.0000,0.0010,1.0000
8.0879,41.1341,7.2304,13.0769,20.8269,0.0000,0.0010,1.0000
8.2603,41.3567,7.2397,13.2328,20.8842,0.0000,0.0010,1.0000
8.4328,40.8326,7.1842,12.9173,20.7311,0.0000,0.0010,1.0000
8.6052,40.7886,7.1701,12.9209,20.6977,0.0000,0.0010,1.0000
8.7776,40.5611,7.1318,12.9478,20.4814,0.0000,0.0010,1.0000
8.9500,40.5044,7.1369,12.8165,20.5510,0.0000,0.0010,1.0000
9.1207,40.4605,7.1275,12.8407,20.4923,0.0000,0.0010,1.0000
9.2931,40.7272,7.1516,12.8528,20.7228,0.0000,0.0010,1.0000
9.4655,40.2539,7.1063,12.6665,20.4811,0.0000,0.0010,1.0000
9.6379,40.3667,7.0853,12.7925,20.4888,0.0000,0.0010,1.0000
9.8103,40.0261,7.0405,12.6751,20.3105,0.0000,0.0010,1.0000
9.9828,39.8693,7.0645,12.5442,20.2605,0.0000,0.0010,1.0000
10.1534,39.8645,7.0171,12.6022,20.2452,0.0000,0.0010,1.0000
10.3259,40.4980,7.1046,12.7244,20.6690,0.0000,0.0010,1.0000
10.4983,39.9241,7.0378,12.5446,20.3418,0.0000,0.0010,1.0000
10.6707,39.7704,6.9798,12.5618,20.2288,0.0000,0.0010,1.0000
10.8431,39.6873,7.0143,12.4800,20.1929,0.0000,0.0010,1.0000
11.0138,39.1353,6.9566,12.2776,19.9011,0.0000,0.0003,1.0000
11.1862,39.2088,6.9716,12.2599,19.9774,0.0000,0.0003,1.0000
11.3586,39.5654,7.0065,12.2971,20.2618,0.0000,0.0003,1.0000
11.5310,38.9623,6.9502,12.0986,19.9135,0.0000,0.0003,1.0000
11.7034,39.2273,6.9669,12.2570,20.0035,0.0000,0.0003,1.0000
11.8759,38.6942,6.9124,12.0421,19.7396,0.0000,0.0003,1.0000
12.0466,38.5115,6.9276,11.9715,19.6124,0.0000,0.0003,1.0000
12.2190,39.0978,6.9601,12.2021,19.9356,0.0000,0.0003,1.0000
12.3914,39.2277,6.9825,12.1535,20.0916,0.0000,0.0003,1.0000
12.5638,38.8575,6.9373,12.0259,19.8943,0.0000,0.0003,1.0000
12.7362,38.9697,6.9415,12.1444,19.8837,0.0000,0.0003,1.0000
12.9086,38.3700,6.8787,11.9240,19.5673,0.0000,0.0003,1.0000
13.0793,38.7959,6.9445,12.0165,19.8349,0.0000,0.0003,1.0000
13.2517,39.1415,6.9622,12.2307,19.9486,0.0000,0.0003,1.0000
13.4241,38.6993,6.9352,11.9334,19.8307,0.0000,0.0003,1.0000
13.5966,38.8422,6.9257,12.0093,19.9072,0.0000,0.0003,1.0000
13.7690,38.6177,6.8965,12.0387,19.6825,0.0000,0.0003,1.0000
13.9414,38.4445,6.8945,11.9122,19.6378,0.0000,0.0003,1.0000
14.1121,38.7832,6.9260,12.0821,19.7750,0.0000,0.0003,1.0000
14.2845,38.7644,6.9408,11.9894,19.8342,0.0000,0.0003,1.0000
14.4569,38.5829,6.9043,11.9261,19.7525,0.0000,0.0003,1.0000
14.6293,38.6985,6.9038,11.9893,19.8054,0.0000,0.0003,1.0000
14.8017,38.4161,6.8652,11.9433,19.6076,0.0000,0.0003,1.0000
14.9741,38.3510,6.8832,11.8347,19.6331,0.0000,0.0003,1.0000
15.1448,38.4991,6.9035,11.9391,19.6565,0.0000,0.0003,1.0000
15.3172,38.7735,6.9155,12.0150,19.8430,0.0000,0.0003,1.0000
15.4897,38.6082,6.9056,11.8952,19.8074,0.0000,0.0003,1.0000
15.6621,38.6213,6.8803,12.0246,19.7163,0.0000,0.0003,1.0000
15.8345,38.1746,6.8579,11.7874,19.5293,0.0000,0.0003,1.0000
16.0052,38.0670,6.8600,11.7635,19.4436,0.0000,0.0003,1.0000
16.1776,38.4486,6.8743,11.9208,19.6536,0.0000,0.0003,1.0000
16.3500,38.7629,6.9163,11.9402,19.9063,0.0000,0.0003,1.0000
16.5224,38.4145,6.8781,11.8697,19.6668,0.0000,0.0003,1.0000
16.6948,38.5880,6.8801,11.9888,19.7191,0.0000,0.0003,1.0000
16.8672,38.1167,6.8342,11.7627,19.5198,0.0000,0.0003,1.0000
