epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.1707,94.4811,0.6417,93.8394,0.0000,0.0000,0.0010,1.0000
0.3431,85.7677,1.2416,84.5261,0.0000,0.0000,0.0010,1.0000
0.5155,81.9910,1.8037,80.1873,0.0000,0.0000,0.0010,1.0000
0.6879,72.9984,2.4570,70.5414,0.0000,0.0000,0.0010,1.0000
0.8603,65.3378,2.8654,62.4724,0.0000,0.0000,0.0010,1.0000
1.0310,77.4940,3.4277,64.2400,9.8262,0.0000,0.0003,1.0000
1.2034,108.3398,4.3628,50.7206,53.2565,0.0000,0.0003,1.0000
1.3759,86.5242,5.0347,34.0994,47.3901,0.0000,0.0003,1.0000
1.5483,69.4651,5.2341,27.5320,36.6990,0.0000,0.0003,1.0000
1.7207,61.2306,5.2310,23.8043,32.1953,0.0000,0.0003,1.0000
1.8931,56.3144,5.2910,20.7008,30.3226,0.0000,0.0003,1.0000
2.0638,51.7036,5.4185,18.1879,28.0972,0.0000,0.0003,1.0000
2.2362,50.9777,5.4379,18.4909,27.0490,0.0000,0.0003,1.0000
2.4086,48.6239,5.5527,16.8695,26.2017,0.0000,0.0003,1.0000
2.5810,46.9290,5.5970,16.1068,25.2251,0.0000,0.0003,1.0000
2.7534,45.8717,5.5333,15.8153,24.5232,0.0000,0.0003,1.0000
2.9259,44.0177,5.5380,14.8809,23.5989,0.0000,0.0003,1.0000
3.0966,43.4550,5.5691,14.4805,23.4054,0.0000,0.0003,1.0000
3.2690,43.8731,5.5712,14.8696,23.4324,0.0000,0.0003,1.0000
3.4414,41.8621,5.5625,13.7241,22.5754,0.0000,0.0003,1.0000
3.6138,41.7166,5.6143,13.5659,22.5364,0.0000,0.0003,1.0000
3.7862,40.7337,5.5916,13.4188,21.7233,0.0000,0.0003,1.0000
3.9586,40.4033,5.6313,12.9367,21.8353,0.0000,0.0003,1.0000
4.1293,41.1652,5.5998,14.0438,21.5216,0.0000,0.0003,1.0000
4.3017,42.0646,5.6903,13.7130,22.6613,0.0000,0.0003,1.0000
4.4741,40.1012,5.7085,12.8743,21.5185,0.0000,0.0003,1.0000
4.6466,39.4609,5.7278,12.6573,21.0758,0.0000,0.0003,1.0000
4.8190,39.6266,5.6981,12.6649,21.2637,0.0000,0.0003,1.0000
4.9914,37.9585,5.6535,12.1092,20.1958,0.0000,0.0003,1.0000
