epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.0155,328.3071,2.3220,115.7145,210.2706,0.0000,0.0090,10.0000
0.0328,258.9956,7.6548,63.0947,188.2461,0.0000,0.0090,10.0000
0.0500,222.5140,5.7949,61.8542,154.8649,0.0000,0.0090,10.0000
0.0672,212.7958,7.3705,64.7203,140.7050,0.0000,0.0090,10.0000
0.0845,207.6260,6.5459,64.0526,137.0275,0.0000,0.0090,10.0000
0.1017,200.9088,7.5343,64.0770,129.2975,0.0000,0.0090,10.0000
0.1190,195.6748,7.3659,62.2395,126.0694,0.0000,0.0090,10.0000
0.1362,187.4824,8.3616,60.2092,118.9116,0.0000,0.0090,10.0000
0.1534,190.3498,8.5075,61.5940,120.2482,0.0000,0.0090,10.0000
0.1707,177.2583,8.1993,59.2718,109.7872,0.0000,0.0090,10.0000
0.1879,180.1001,8.4238,58.2051,113.4712,0.0000,0.0090,10.0000
0.2052,174.4945,8.1904,58.1627,108.1414,0.0000,0.0090,10.0000
0.2224,179.8651,8.5103,57.9046,113.4502,0.0000,0.0090,10.0000
0.2397,175.8119,8.2863,57.7907,109.7349,0.0000,0.0090,10.0000
0.2569,175.1149,8.5683,57.5597,108.9869,0.0000,0.0090,10.0000
0.2741,171.9769,7.9758,56.2761,107.7250,0.0000,0.0090,10.0000
0.2914,167.1483,8.3490,56.0089,102.7903,0.0000,0.0090,10.0000
0.3086,171.6843,8.2431,57.6862,105.7550,0.0000,0.0090,10.0000
0.3259,172.5079,8.2338,55.1072,109.1668,0.0000,0.0090,10.0000
0.3431,170.4930,8.3279,57.1510,105.0141,0.0000,0.0090,10.0000
0.3603,168.4880,9.0100,54.2281,105.2499,0.0000,0.0090,10.0000
0.3776,168.8101,9.7887,56.5098,102.5116,0.0000,0.0090,10.0000
0.3948,167.2421,9.3710,55.3728,102.4983,0.0000,0.0090,10.0000
0.4121,169.1525,9.4898,55.9569,103.7058,0.0000,0.0090,10.0000
0.4293,168.7485,9.7069,55.0214,104.0201,0.0000,0.0090,10.0000
0.4466,161.6365,9.1892,54.3794,98.0679,0.0000,0.0090,10.0000
0.4638,165.8370,9.1397,54.5629,102.1344,0.0000,0.0090,10.0000
0.4810,165.6502,9.4602,56.0454,100.1446,0.0000,0.0090,10.0000
0.4983,163.2813,9.6528,54.8783,98.7501,0.0000,0.0090,10.0000
0.5155,161.7278,9.4631,53.8748,98.3899,0.0000,0.0090,10.0000
0.5328,159.9010,9.2810,53.0923,97.5277,0.0000,0.0090,10.0000
0.5500,164.1525,9.8314,55.2977,99.0234,0.0000,0.0090,10.0000
0.5672,164.5303,9.2858,55.1407,100.1038,0.0000,0.0090,10.0000
0.5845,164.9337,9.8564,54.0030,101.0743,0.0000,0.0090,10.0000
0.6017,166.2225,9.5412,55.4137,101.2675,0.0000,0.0090,10.0000
0.6190,158.0969,9.1468,53.7565,95.1936,0.0000,0.0090,10.0000
0.6362,161.1397,9.8371,53.5521,97.7504,0.0000,0.0090,10.0000
0.6534,162.8412,10.1675,53.7037,98.9700,0.0000,0.0090,10.0000
0.6707,159.4179,9.6822,53.8512,95.8845,0.0000,0.0090,10.0000
0.6879,159.7302,9.7504,52.7811,97.1988,0.0000,0.0090,10.0000
0.7052,163.2748,9.6708,55.2794,98.3246,0.0000,0.0090,10.0000
0.7224,159.6357,9.2017,54.2781,96.1558,0.0000,0.0090,10.0000
0.7397,162.6853,9.7491,53.5543,99.3818,0.0000,0.0090,10.0000
0.7569,162.8430,9.6858,54.7280,98.4292,0.0000,0.0090,10.0000
0.7741,164.5912,9.6727,54.8273,100.0912,0.0000,0.0090,10.0000
0.7914,161.6879,9.3884,53.1940,99.1055,0.0000,0.0090,10.0000
0.8086,162.8951,9.5637,54.2904,99.0411,0.0000,0.0090,10.0000
0.8259,167.8443,9.5065,55.1403,103.1975,0.0000,0.0090,10.0000
0.8431,162.7819,10.0572,55.1238,97.6009,0.0000,0.0090,10.0000
