epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.0155,152.6208,1.7188,81.6016,69.3004,0.0000,0.0090,1.0000
0.0328,125.1012,3.7248,50.5792,70.7972,0.0000,0.0090,1.0000
0.0500,113.3661,3.6132,42.1858,67.5671,0.0000,0.0090,1.0000
0.0672,111.1601,2.9134,47.0597,61.1870,0.0000,0.0090,1.0000
0.0845,102.4121,2.9130,42.9287,56.5704,0.0000,0.0090,1.0000
0.1017,96.6311,3.3656,36.9721,56.2934,0.0000,0.0090,1.0000
0.1190,94.2647,2.6665,37.9631,53.6351,0.0000,0.0090,1.0000
0.1362,90.4186,2.5486,37.5955,50.2745,0.0000,0.0090,1.0000
0.1534,89.1579,2.3693,37.1402,49.6484,0.0000,0.0090,1.0000
0.1707,89.9538,2.2626,38.1733,49.5179,0.0000,0.0090,1.0000
0.1879,87.7387,2.3856,35.9017,49.4514,0.0000,0.0090,1.0000
0.2052,91.6546,2.6240,37.5757,51.4550,0.0000,0.0090,1.0000
0.2224,89.3627,2.5248,37.4818,49.3561,0.0000,0.0090,1.0000
0.2397,86.6903,2.4701,35.2255,48.9947,0.0000,0.0090,1.0000
0.2569,84.1638,2.3829,34.5707,47.2102,0.0000,0.0090,1.0000
0.2741,83.9991,2.2962,34.7744,46.9285,0.0000,0.0090,1.0000
0.2914,82.2328,2.3856,33.9385,45.9088,0.0000,0.0090,1.0000
0.3086,84.1408,2.4253,35.5226,46.1929,0.0000,0.0090,1.0000
0.3259,84.6063,2.5012,34.7511,47.3540,0.0000,0.0090,1.0000
0.3431,83.3048,2.2398,34.6948,46.3701,0.0000,0.0090,1.0000
0.3603,82.6284,2.5344,34.3978,45.6962,0.0000,0.0090,1.0000
0.3776,83.6468,2.5010,34.2802,46.8657,0.0000,0.0090,1.0000
0.3948,84.9496,2.3625,35.5739,47.0132,0.0000,0.0090,1.0000
0.4121,81.8493,2.4616,33.8099,45.5778,0.0000,0.0090,1.0000
0.4293,82.1192,2.5015,33.6310,45.9868,0.0000,0.0090,1.0000
0.4466,81.6808,2.3797,34.4236,44.8774,0.0000,0.0090,1.0000
0.4638,83.2224,2.4046,34.4114,46.4064,0.0000,0.0090,1.0000
0.4810,82.3381,2.4836,33.9367,45.9178,0.0000,0.0090,1.0000
0.4983,81.4195,2.4563,34.4813,44.4820,0.0000,0.0090,1.0000
0.5155,82.7455,2.5483,33.9381,46.2591,0.0000,0.0090,1.0000
0.5328,81.5890,2.4232,33.4190,45.7469,0.0000,0.0090,1.0000
0.5500,81.6178,2.5452,34.2227,44.8500,0.0000,0.0090,1.0000
0.5672,78.9322,2.6055,32.2589,44.0678,0.0000,0.0090,1.0000
0.5845,83.0484,2.8919,34.3119,45.8446,0.0000,0.0090,1.0000
0.6017,81.4277,3.0349,33.3869,45.0059,0.0000,0.0090,1.0000
0.6190,77.6140,3.1440,32.4478,42.0221,0.0000,0.0090,1.0000
0.6362,79.7412,3.3715,32.2968,44.0729,0.0000,0.0090,1.0000
0.6534,77.9767,3.4960,32.8072,41.6735,0.0000,0.0090,1.0000
0.6707,80.3905,3.5432,32.6969,44.1504,0.0000,0.0090,1.0000
0.6879,82.8492,3.5210,34.2410,45.0873,0.0000,0.0090,1.0000
0.7052,80.7473,3.4495,32.8737,44.4241,0.0000,0.0090,1.0000
0.7224,78.7009,3.5489,31.8818,43.2702,0.0000,0.0090,1.0000
0.7397,76.6756,3.4971,31.6768,41.5017,0.0000,0.0090,1.0000
0.7569,77.7591,3.7827,32.2343,41.7421,0.0000,0.0090,1.0000
0.7741,77.8684,3.7539,32.2003,41.9143,0.0000,0.0090,1.0000
0.7914,77.1104,3.6441,30.9564,42.5099,0.0000,0.0090,1.0000
0.8086,75.5306,3.7067,31.0755,40.7484,0.0000,0.0090,1.0000
0.8259,75.6475,3.8554,31.5541,40.2380,0.0000,0.0090,1.0000
0.8431,75.8946,3.7987,30.8814,41.2145,0.0000,0.0090,1.0000
0.8603,77.0991,3.7306,32.4550,40.9135,0.0000,0.0090,1.0000
0.8776,78.4265,3.8931,30.6651,43.8683,0.0000,0.0090,1.0000
0.8948,75.4183,3.7998,32.1115,39.5070,0.0000,0.0090,1.0000
0.9121,77.8349,3.7301,31.6249,42.4799,0.0000,0.0090,1.0000
0.9293,76.7120,3.7848,30.9507,41.9765,0.0000,0.0090,1.0000
0.9466,75.0871,3.8462,31.5349,39.7060,0.0000,0.0090,1.0000
0.9638,74.5550,3.6311,29.9261,40.9978,0.0000,0.0090,1.0000
0.9810,72.6407,3.7600,29.7400,39.1407,0.0000,0.0090,1.0000
0.9983,75.0732,3.8276,31.1610,40.0846,0.0000,0.0090,1.0000
1.0138,68.5266,3.4128,28.0051,37.1087,0.0000,0.0030,1.0000
1.0310,72.7558,3.7346,29.1784,39.8428,0.0000,0.0030,1.0000
1.0483,74.4415,3.8851,30.8345,39.7219,0.0000,0.0030,1.0000
1.0655,75.7356,3.9185,31.5814,40.2358,0.0000,0.0030,1.0000
1.0828,74.7914,3.9330,30.3325,40.5260,0.0000,0.0030,1.0000
1.1000,76.5192,3.8891,31.0811,41.5490,0.0000,0.0030,1.0000
1.1172,75.3618,3.8703,31.4181,40.0734,0.0000,0.0030,1.0000
1.1345,75.1493,3.8746,30.5842,40.6906,0.0000,0.0030,1.0000
1.1517,73.1764,3.9909,29.0270,40.1585,0.0000,0.0030,1.0000
1.1690,76.4665,4.0537,32.1570,40.2558,0.0000,0.0030,1.0000
1.1862,75.0701,3.9820,30.6295,40.4586,0.0000,0.0030,1.0000
1.2034,72.3400,3.9033,29.0466,39.3902,0.0000,0.0030,1.0000
1.2207,73.5216,3.8688,30.7873,38.8655,0.0000,0.0030,1.0000
1.2379,71.5735,3.9377,28.6437,38.9921,0.0000,0.0030,1.0000
