epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.1707,287.7491,18.9950,84.2115,184.5426,0.0000,0.0030,100.0000
0.3431,146.1035,17.3580,78.1845,50.5610,0.0000,0.0030,100.0000
0.5155,130.5996,16.1708,73.7947,40.6341,0.0000,0.0030,100.0000
0.6879,148.2874,15.1128,73.7333,59.4412,0.0000,0.0030,100.0000
0.8603,144.6700,15.6412,72.4963,56.5325,0.0000,0.0030,100.0000
1.0310,15.7749,2.7519,11.0739,1.9491,0.0000,0.0010,100.0000
1.2034,61.9312,15.6629,58.1612,-11.8928,0.0000,0.0010,100.0000
1.3759,44.2483,15.7869,54.7490,-26.2876,0.0000,0.0010,100.0000
1.5483,38.1019,15.6507,53.0304,-30.5792,0.0000,0.0010,100.0000
1.7207,39.6238,15.4970,53.0586,-28.9319,0.0000,0.0010,100.0000
1.8931,28.5322,15.1128,51.6585,-38.2391,0.0000,0.0010,100.0000
2.0638,9.2504,5.5760,18.4578,-14.7834,0.0000,0.0010,100.0000
2.2362,21.1650,14.6791,49.7372,-43.2512,0.0000,0.0010,100.0000
2.4086,17.5968,14.7626,48.5750,-45.7408,0.0000,0.0010,100.0000
2.5810,14.6314,14.6578,47.5927,-47.6191,0.0000,0.0010,100.0000
2.7534,13.4142,14.5453,47.3750,-48.5062,0.0000,0.0010,100.0000
2.9259,9.9796,14.3002,46.7625,-51.0832,0.0000,0.0010,100.0000
3.0966,6.4903,8.0909,26.6295,-28.2301,0.0000,0.0010,100.0000
3.2690,7.3460,14.2382,46.6129,-53.5051,0.0000,0.0010,100.0000
3.4414,3.2090,14.1993,44.5773,-55.5676,0.0000,0.0010,100.0000
3.6138,4.0496,14.1105,45.3503,-55.4112,0.0000,0.0010,100.0000
3.7862,-1.1882,14.0105,43.6188,-58.8175,0.0000,0.0010,100.0000
3.9586,-2.7271,13.8826,43.2038,-59.8135,0.0000,0.0010,100.0000
4.1293,1.5691,10.4700,34.0413,-42.9422,0.0000,0.0010,100.0000
4.3017,-4.2937,13.7896,43.0098,-61.0930,0.0000,0.0010,100.0000
4.4741,-3.6525,13.6989,42.8729,-60.2243,0.0000,0.0010,100.0000
4.6466,-4.3154,13.6517,42.6794,-60.6465,0.0000,0.0010,100.0000
4.8190,-6.6420,13.5604,42.0829,-62.2852,0.0000,0.0010,100.0000
4.9914,-10.0612,13.4360,41.5201,-65.0173,0.0000,0.0010,100.0000
5.1621,-5.8071,12.7271,40.7563,-59.2905,0.0000,0.0010,100.0000
5.3345,-6.9330,13.4242,42.0161,-62.3733,0.0000,0.0010,100.0000
5.5069,-8.8506,13.2956,41.2543,-63.4005,0.0000,0.0010,100.0000
5.6793,-7.7818,13.3317,41.7122,-62.8256,0.0000,0.0010,100.0000
5.8517,-10.8631,13.1947,41.0836,-65.1415,0.0000,0.0010,100.0000
6.0224,-1.9872,1.8430,5.8564,-9.6866,0.0000,0.0010,100.0000
6.1948,-7.9239,13.1788,42.1983,-63.3010,0.0000,0.0010,100.0000
6.3672,-10.9189,13.1406,40.7376,-64.7971,0.0000,0.0010,100.0000
6.5397,-13.0273,13.0119,39.9380,-65.9772,0.0000,0.0010,100.0000
6.7121,-10.2944,13.1563,40.7688,-64.2195,0.0000,0.0010,100.0000
6.8845,-15.0785,12.9541,39.9620,-67.9946,0.0000,0.0010,100.0000
7.0552,-5.0097,4.2413,13.0599,-22.3109,0.0000,0.0010,100.0000
7.2276,-10.0040,12.9913,41.6720,-64.6673,0.0000,0.0010,100.0000
7.4000,-14.6799,12.9723,39.5277,-67.1798,0.0000,0.0010,100.0000
7.5724,-15.7545,12.8903,39.1437,-67.7885,0.0000,0.0010,100.0000
7.7448,-13.8480,12.9362,39.6211,-66.4053,0.0000,0.0010,100.0000
7.9172,-18.9398,12.7710,38.9569,-70.6676,0.0000,0.0010,100.0000
8.0879,-6.5007,6.6650,21.2406,-34.4063,0.0000,0.0010,100.0000
8.2603,-16.3610,12.8137,39.4852,-68.6598,0.0000,0.0010,100.0000
8.4328,-19.0039,12.7886,38.1674,-69.9599,0.0000,0.0010,100.0000
8.6052,-15.7906,12.7824,39.1000,-67.6731,0.0000,0.0010,100.0000
8.7776,-17.4857,12.7536,38.6124,-68.8518,0.0000,0.0010,100.0000
8.9500,-20.4145,12.6376,38.0481,-71.1002,0.0000,0.0010,100.0000
9.1207,-11.3747,9.0234,28.0355,-48.4336,0.0000,0.0010,100.0000
