epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.1707,52450911.3768,36455137.9220,15995125.0246,649.6511,0.0000,0.0300,1.0000
0.3431,881836090396.9200,980719257.0400,880855375339.6782,1150.0176,0.0000,0.0300,1.0000
0.5155,137775260376.1599,4993813176.7200,132781446057.6213,1222.2728,0.0000,0.0300,1.0000
0.6879,1148233400133719.2500,80970976856.3200,1148152430864206.0000,1425.8408,0.0000,0.0300,1.0000
0.8603,1343786254581.7598,199336343347.2000,1144449938966.4900,1583.4873,0.0000,0.0300,1.0000
1.0310,489823693701.1201,489808425123.8400,15268720.6400,341.8763,0.0000,0.0100,1.0000
1.2034,2495386231111.6807,2495312124313.5986,74107147.2000,1794.4159,0.0000,0.0100,1.0000
1.3759,1339868237004.7993,1339817401712.6404,50833288.5600,1763.2452,0.0000,0.0100,1.0000
1.5483,69497501607198.6953,527703803166.7201,68969796810966.7578,1701.3852,0.0000,0.0100,1.0000
1.7207,654233527582.7200,654204988948.4800,28540334.8400,1707.9259,0.0000,0.0100,1.0000
1.8931,491785079357.4401,491760584949.7602,24491675.8800,1701.5087,0.0000,0.0100,1.0000
2.0638,68616463776317.4375,127404166348.8000,68489058773789.6016,640.0828,0.0000,0.0100,1.0000
2.2362,1804815914434.5591,1804786231214.0803,29680886.6800,1705.5609,0.0000,0.0100,1.0000
2.4086,1929499717795.8396,1929471805358.0801,27920255.8000,1705.3824,0.0000,0.0100,1.0000
2.5810,1638736312401.9197,1638711703633.9197,24609682.1200,1700.1565,0.0000,0.0100,1.0000
2.7534,1602038199091.2000,1602015593758.7200,22602351.1200,1695.5447,0.0000,0.0100,1.0000
2.9259,1416796424110.0801,1416775662305.2798,20760889.4600,1690.4873,0.0000,0.0100,1.0000
3.0966,822080288849.9198,822069082849.2800,11204122.3000,959.1070,0.0000,0.0100,1.0000
3.2690,1296511167365.1206,1296491755601.9204,19408523.2300,1678.3151,0.0000,0.0100,1.0000
3.4414,1169329980702.7197,1169310682316.7998,19298885.5100,1669.7683,0.0000,0.0100,1.0000
3.6138,1049310082498.5599,1049290166435.8403,19915653.9200,1662.4673,0.0000,0.0100,1.0000
3.7862,1025235225477.1200,1025214137958.3999,21085796.8800,1655.6447,0.0000,0.0100,1.0000
3.9586,766493462036.4800,766470979584.0001,22479001.9500,1644.5225,0.0000,0.0100,1.0000
4.1293,384989634068.4800,384968337489.9201,21294695.5400,1233.4192,0.0000,0.0100,1.0000
4.3017,361744940728.3199,361712841687.0402,32095969.4400,1611.2034,0.0000,0.0100,1.0000
4.4741,294936557240.3201,294907239219.2000,29316411.4600,1605.0758,0.0000,0.0100,1.0000
4.6466,254092947210.2401,254068032471.0400,24913112.6000,1602.8408,0.0000,0.0100,1.0000
4.8190,225328938680.3200,225307874918.4001,21062337.4700,1599.7945,0.0000,0.0100,1.0000
4.9914,189672271871.9999,189654126837.7600,18144046.0000,1596.6359,0.0000,0.0100,1.0000
5.1621,169476681318.3999,169461667184.6400,15012539.9600,1513.2340,0.0000,0.0100,1.0000
5.3345,137284171612.1600,137270391152.6400,13778334.5900,1588.9999,0.0000,0.0100,1.0000
5.5069,114434213478.4000,114422082519.0400,12129333.4500,1583.2507,0.0000,0.0100,1.0000
5.6793,92902700605.4399,92892072345.6001,10626532.2600,1578.6313,0.0000,0.0100,1.0000
5.8517,74875124326.4000,74865706680.3200,9416012.2550,1572.3435,0.0000,0.0100,1.0000
6.0224,8388130488.3200,8386977873.9200,1152345.6300,219.1611,0.0000,0.0100,1.0000
6.1948,50295272939.5200,50287704862.7200,7566417.1450,1560.5565,0.0000,0.0100,1.0000
6.3672,35709729013.7600,35702891397.1200,6836062.2100,1553.7129,0.0000,0.0100,1.0000
6.5397,28306185287.6800,28299686553.6000,6497152.9950,1546.5528,0.0000,0.0100,1.0000
6.7121,22964815185.9200,22958847447.0400,5966159.5250,1541.1890,0.0000,0.0100,1.0000
6.8845,18839692001.2800,18833962014.7200,5728460.2650,1534.7222,0.0000,0.0100,1.0000
7.0552,5241482649.6000,5239713576.9600,1768571.1650,504.8540,0.0000,0.0100,1.0000
7.2276,14538768957.4400,14533671403.5200,5096062.4000,1526.8843,0.0000,0.0100,1.0000
7.4000,12806652866.5600,12801885706.2400,4765639.4650,1523.5715,0.0000,0.0100,1.0000
7.5724,11141868262.4000,11137241200.6400,4625570.5250,1520.6790,0.0000,0.0100,1.0000
7.7448,10230357099.5200,10226101463.0400,4254121.1700,1518.6327,0.0000,0.0100,1.0000
7.9172,9790587023.3600,9786456724.4800,4128828.2025,1517.0064,0.0000,0.0100,1.0000
8.0879,4993812428.8000,4991820472.3200,1991175.5150,788.3903,0.0000,0.0100,1.0000
8.2603,8978488151.0400,8974800424.9600,3686230.3925,1514.4224,0.0000,0.0100,1.0000
8.4328,8762780794.8800,8759329464.3200,3449814.8825,1513.6961,0.0000,0.0100,1.0000
8.6052,7867842467.8400,7864578447.3600,3262514.9475,1512.1409,0.0000,0.0100,1.0000
8.7776,7712818503.6800,7709692508.1600,3124471.3225,1510.4987,0.0000,0.0100,1.0000
8.9500,7060487219.2000,7057464166.4000,3021526.8200,1508.2898,0.0000,0.0100,1.0000
9.1207,4837706147.8400,4835752407.0400,1952650.9025,1069.5600,0.0000,0.0100,1.0000
9.2931,5956037693.4400,5953402629.1200,2633576.2825,1506.2540,0.0000,0.0100,1.0000
9.4655,5247204395.5200,5244737256.9600,2465638.7375,1504.4674,0.0000,0.0100,1.0000
9.6379,4744796994.5600,4742480371.2000,2315107.3025,1499.9654,0.0000,0.0100,1.0000
9.8103,4632626575.3600,4630418908.1600,2206168.2525,1495.5289,0.0000,0.0100,1.0000
9.9828,4416113873.9200,4413986278.4000,2126095.6725,1493.1023,0.0000,0.0100,1.0000
10.1534,3949618565.1200,3947827294.7200,1789916.5150,1340.5091,0.0000,0.0100,1.0000
10.3259,4163187722.2400,4161294937.6000,1891307.2575,1486.6071,0.0000,0.0100,1.0000
10.4983,3907481146.8800,3905654443.5200,1825209.7537,1481.9823,0.0000,0.0100,1.0000
10.6707,3600143641.6000,3598446778.8800,1695379.5287,1477.8783,0.0000,0.0100,1.0000
10.8431,3609475658.2400,3607829201.9200,1644994.3750,1473.4186,0.0000,0.0100,1.0000
11.0138,328095544.3200,327951787.5200,143624.7737,132.1102,0.0000,0.0034,1.0000
11.1862,3384203677.4400,3382660125.4400,1542103.4550,1465.9941,0.0000,0.0034,1.0000
11.3586,3235129360.6400,3233649815.0400,1478091.5138,1464.5441,0.0000,0.0034,1.0000
11.5310,3059386931.2000,3057906346.2400,1479122.6175,1461.5905,0.0000,0.0034,1.0000
11.7034,2942922353.9200,2941505859.8400,1415039.8075,1460.4548,0.0000,0.0034,1.0000
11.8759,3054660916.4800,3053223809.2800,1435654.1437,1457.9634,0.0000,0.0034,1.0000
12.0466,832542004.4800,832143740.1600,397857.5887,407.3387,0.0000,0.0034,1.0000
12.2190,3001633958.4000,3000261141.7600,1371376.4650,1454.1192,0.0000,0.0034,1.0000
12.3914,2895517064.9600,2894179187.2000,1336431.7725,1452.7572,0.0000,0.0034,1.0000
12.5638,2624407027.2000,2623091351.0400,1314232.1087,1448.2556,0.0000,0.0034,1.0000
12.7362,2620271371.5200,2619008994.5600,1260938.4250,1446.8744,0.0000,0.0034,1.0000
12.9086,2655465699.8400,2654175384.3200,1288872.5425,1444.7832,0.0000,0.0034,1.0000
13.0793,1196136698.8800,1195551252.4800,584764.2100,677.5490,0.0000,0.0034,1.0000
13.2517,2536400069.1200,2535190992.6400,1207636.3338,1439.9990,0.0000,0.0034,1.0000
13.4241,2546179191.0400,2544972668.1600,1205091.9469,1437.7945,0.0000,0.0034,1.0000
13.5966,2310655316.4800,2309509015.0400,1144869.1531,1433.5597,0.0000,0.0034,1.0000
13.7690,2312189752.3200,2311051252.4800,1137072.2906,1431.3801,0.0000,0.0034,1.0000
