epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.0155,275.3795,3.7585,79.2320,192.3891,0.0000,0.0090,10.0000
0.0328,212.1140,9.2773,57.6995,145.1372,0.0000,0.0090,10.0000
0.0500,198.6519,9.2998,59.3859,129.9662,0.0000,0.0090,10.0000
0.0672,189.3449,8.7417,59.2974,121.3058,0.0000,0.0090,10.0000
0.0845,181.9102,10.3659,55.8990,115.6452,0.0000,0.0090,10.0000
0.1017,176.6424,11.4266,56.4887,108.7270,0.0000,0.0090,10.0000
0.1190,175.3032,10.8036,57.8112,106.6883,0.0000,0.0090,10.0000
0.1362,170.0568,10.8093,56.2698,102.9777,0.0000,0.0090,10.0000
0.1534,172.6857,10.2892,54.4396,107.9568,0.0000,0.0090,10.0000
0.1707,165.6576,10.8795,57.0947,97.6834,0.0000,0.0090,10.0000
0.1879,171.4288,11.2548,55.3256,104.8484,0.0000,0.0090,10.0000
0.2052,168.5892,10.7531,56.6468,101.1893,0.0000,0.0090,10.0000
0.2224,168.7194,10.2744,55.0381,103.4069,0.0000,0.0090,10.0000
0.2397,169.2472,11.2746,55.6744,102.2982,0.0000,0.0090,10.0000
0.2569,164.6531,10.6309,55.6117,98.4105,0.0000,0.0090,10.0000
0.2741,171.1141,10.5933,57.1548,103.3660,0.0000,0.0090,10.0000
0.2914,167.4068,10.6034,54.9094,101.8940,0.0000,0.0090,10.0000
0.3086,166.9496,11.0984,56.0703,99.7809,0.0000,0.0090,10.0000
0.3259,165.9003,10.6333,54.5482,100.7187,0.0000,0.0090,10.0000
0.3431,169.6557,10.3411,55.8427,103.4719,0.0000,0.0090,10.0000
0.3603,166.4905,10.2683,55.5399,100.6823,0.0000,0.0090,10.0000
0.3776,167.2574,10.8192,54.7930,101.6451,0.0000,0.0090,10.0000
0.3948,163.8075,10.6974,55.3863,97.7238,0.0000,0.0090,10.0000
0.4121,164.6131,10.8030,54.5040,99.3060,0.0000,0.0090,10.0000
0.4293,163.6831,10.6227,55.1974,97.8630,0.0000,0.0090,10.0000
0.4466,163.9451,10.2921,53.3352,100.3179,0.0000,0.0090,10.0000
0.4638,162.9911,10.1545,54.4605,98.3761,0.0000,0.0090,10.0000
0.4810,167.0960,10.4940,54.6695,101.9325,0.0000,0.0090,10.0000
0.4983,161.6341,9.8277,55.3016,96.5049,0.0000,0.0090,10.0000
0.5155,159.6699,10.4129,53.5425,95.7145,0.0000,0.0090,10.0000
0.5328,162.2705,10.4438,53.3122,98.5145,0.0000,0.0090,10.0000
0.5500,161.8955,10.2596,55.1625,96.4734,0.0000,0.0090,10.0000
0.5672,162.7315,10.5243,53.1278,99.0794,0.0000,0.0090,10.0000
0.5845,164.3447,10.1863,55.3358,98.8225,0.0000,0.0090,10.0000
0.6017,162.1652,10.0538,53.7196,98.3917,0.0000,0.0090,10.0000
0.6190,159.0481,10.7830,52.7496,95.5156,0.0000,0.0090,10.0000
0.6362,160.1699,10.5745,54.9691,94.6263,0.0000,0.0090,10.0000
0.6534,162.0309,10.1083,53.4625,98.4602,0.0000,0.0090,10.0000
0.6707,163.3428,10.5720,54.8735,97.8974,0.0000,0.0090,10.0000
0.6879,159.5731,9.7510,53.3928,96.4293,0.0000,0.0090,10.0000
0.7052,157.0682,10.2555,52.9532,93.8595,0.0000,0.0090,10.0000
0.7224,157.9654,10.3091,53.3146,94.3417,0.0000,0.0090,10.0000
0.7397,160.3841,10.2130,52.3737,97.7973,0.0000,0.0090,10.0000
0.7569,158.8259,10.3785,54.7027,93.7447,0.0000,0.0090,10.0000
0.7741,158.3642,9.9712,52.1682,96.2248,0.0000,0.0090,10.0000
0.7914,157.8426,10.4241,51.7302,95.6884,0.0000,0.0090,10.0000
0.8086,160.7250,10.6343,54.1870,95.9037,0.0000,0.0090,10.0000
0.8259,157.6952,10.3041,52.3275,95.0635,0.0000,0.0090,10.0000
0.8431,156.1108,10.1655,53.8055,92.1397,0.0000,0.0090,10.0000
0.8603,158.4013,10.2923,53.2358,94.8732,0.0000,0.0090,10.0000
0.8776,159.3995,9.8750,53.9843,95.5401,0.0000,0.0090,10.0000
0.8948,161.2269,10.9254,52.5601,97.7414,0.0000,0.0090,10.0000
0.9121,158.6263,9.9927,53.6690,94.9646,0.0000,0.0090,10.0000
0.9293,159.0945,10.2420,53.5112,95.3413,0.0000,0.0090,10.0000
0.9466,158.2159,10.1098,52.1577,95.9484,0.0000,0.0090,10.0000
0.9638,157.6650,10.3877,53.4116,93.8656,0.0000,0.0090,10.0000
0.9810,159.7408,10.2609,53.8408,95.6390,0.0000,0.0090,10.0000
0.9983,159.1773,10.8524,52.4145,95.9103,0.0000,0.0090,10.0000
1.0138,141.2711,9.2984,48.2462,83.7265,0.0000,0.0030,10.0000
1.0310,151.2656,10.3911,49.9841,90.8905,0.0000,0.0030,10.0000
1.0483,153.9983,10.4232,52.9625,90.6126,0.0000,0.0030,10.0000
1.0655,157.1130,10.2337,52.1317,94.7476,0.0000,0.0030,10.0000
1.0828,152.9746,10.4507,50.9414,91.5826,0.0000,0.0030,10.0000
1.1000,156.7052,10.4290,52.7696,93.5066,0.0000,0.0030,10.0000
1.1172,156.3830,10.4196,52.7280,93.2353,0.0000,0.0030,10.0000
1.1345,154.7735,10.1673,52.7264,91.8798,0.0000,0.0030,10.0000
1.1517,151.1247,10.5181,49.9738,90.6328,0.0000,0.0030,10.0000
1.1690,155.4299,10.8602,52.5452,92.0245,0.0000,0.0030,10.0000
1.1862,154.8013,10.4119,51.6509,92.7385,0.0000,0.0030,10.0000
1.2034,150.8575,9.9931,50.6314,90.2331,0.0000,0.0030,10.0000
1.2207,151.9114,10.0536,52.2427,89.6152,0.0000,0.0030,10.0000
1.2379,150.4395,10.2009,50.8764,89.3621,0.0000,0.0030,10.0000
1.2552,152.4155,10.2014,51.3916,90.8225,0.0000,0.0030,10.0000
1.2724,156.0857,10.4793,53.5351,92.0713,0.0000,0.0030,10.0000
1.2897,154.0228,10.0252,51.7257,92.2718,0.0000,0.0030,10.0000
1.3069,150.8696,10.1119,50.3524,90.4053,0.0000,0.0030,10.0000
1.3241,158.5252,10.6900,54.2391,93.5961,0.0000,0.0030,10.0000
1.3414,153.6439,10.2435,51.3954,92.0050,0.0000,0.0030,10.0000
1.3586,153.8360,10.6713,51.5116,91.6531,0.0000,0.0030,10.0000
1.3759,157.4453,10.3665,54.2346,92.8442,0.0000,0.0030,10.0000
1.3931,155.3190,10.6758,49.7060,94.9372,0.0000,0.0030,10.0000
1.4103,150.6890,10.1864,52.5721,87.9306,0.0000,0.0030,10.0000
1.4276,156.1484,10.4576,53.3821,92.3088,0.0000,0.0030,10.0000
1.4448,152.8037,10.0444,51.0466,91.7126,0.0000,0.0030,10.0000
1.4621,152.0532,9.9332,51.4375,90.6825,0.0000,0.0030,10.0000
1.4793,153.2451,10.1824,52.0719,90.9907,0.0000,0.0030,10.0000
1.4966,155.0592,10.5631,51.6512,92.8448,0.0000,0.0030,10.0000
1.5138,151.4733,10.4537,49.8041,91.2156,0.0000,0.0030,10.0000
1.5310,154.1687,10.1675,53.2019,90.7992,0.0000,0.0030,10.0000
1.5483,153.6316,10.0502,52.0205,91.5608,0.0000,0.0030,10.0000
1.5655,152.3178,10.1712,51.3800,90.7666,0.0000,0.0030,10.0000
1.5828,155.8308,10.4624,52.8104,92.5580,0.0000,0.0030,10.0000
1.6000,151.6126,10.0047,51.1910,90.4169,0.0000,0.0030,10.0000
1.6172,149.8737,10.2864,50.1695,89.4178,0.0000,0.0030,10.0000
1.6345,158.0902,10.2314,55.6140,92.2447,0.0000,0.0030,10.0000
1.6517,154.2009,9.9694,51.3997,92.8317,0.0000,0.0030,10.0000
1.6690,155.2527,10.4468,51.8803,92.9256,0.0000,0.0030,10.0000
1.6862,152.4517,10.1059,51.1273,91.2185,0.0000,0.0030,10.0000
1.7034,154.4683,10.3337,53.3323,90.8023,0.0000,0.0030,10.0000
1.7207,152.7175,10.3179,51.2335,91.1661,0.0000,0.0030,10.0000
1.7379,152.0499,10.1441,52.2448,89.6610,0.0000,0.0030,10.0000
1.7552,154.3459,11.0729,51.3226,91.9504,0.0000,0.0030,10.0000
1.7724,151.3411,10.1764,50.6564,90.5084,0.0000,0.0030,10.0000
1.7897,153.5890,10.2245,53.1257,90.2389,0.0000,0.0030,10.0000
1.8069,151.4275,10.2611,49.9567,91.2097,0.0000,0.0030,10.0000
1.8241,153.9845,10.1529,52.7327,91.0988,0.0000,0.0030,10.0000
1.8414,154.2573,10.6259,52.2685,91.3629,0.0000,0.0030,10.0000
1.8586,152.9882,10.3331,51.8933,90.7619,0.0000,0.0030,10.0000
1.8759,153.4315,10.4081,51.6080,91.4154,0.0000,0.0030,10.0000
1.8931,153.4864,10.3151,52.3562,90.8151,0.0000,0.0030,10.0000
1.9103,154.7090,10.3488,52.6550,91.7051,0.0000,0.0030,10.0000
1.9276,152.4101,10.1655,50.3416,91.9031,0.0000,0.0030,10.0000
1.9448,148.3533,10.0709,51.1408,87.1416,0.0000,0.0030,10.0000
1.9621,148.9979,10.3204,49.8604,88.8170,0.0000,0.0030,10.0000
1.9793,153.3819,10.1554,51.8756,91.3509,0.0000,0.0030,10.0000
1.9966,151.8533,10.3996,52.5185,88.9352,0.0000,0.0030,10.0000
2.0121,121.3411,8.4121,39.5657,73.3633,0.0000,0.0030,10.0000
2.0293,150.2810,10.3013,51.4775,88.5023,0.0000,0.0030,10.0000
2.0466,150.4803,10.3542,51.6915,88.4346,0.0000,0.0030,10.0000
2.0638,154.1077,10.3836,51.1928,92.5314,0.0000,0.0030,10.0000
2.0810,152.8946,10.3394,51.5080,91.0472,0.0000,0.0030,10.0000
2.0983,154.8968,10.2992,52.5666,92.0310,0.0000,0.0030,10.0000
2.1155,155.6074,10.3969,53.2387,91.9718,0.0000,0.0030,10.0000
2.1328,152.7014,10.1738,50.9951,91.5325,0.0000,0.0030,10.0000
2.1500,149.7251,10.5558,49.2941,89.8751,0.0000,0.0030,10.0000
2.1672,153.8068,10.7591,52.2372,90.8104,0.0000,0.0030,10.0000
2.1845,154.0392,10.4433,52.6398,90.9561,0.0000,0.0030,10.0000
2.2017,152.9831,10.0924,51.1789,91.7119,0.0000,0.0030,10.0000
2.2190,150.1857,9.8923,51.5034,88.7900,0.0000,0.0030,10.0000
2.2362,149.5313,10.3116,51.2104,88.0093,0.0000,0.0030,10.0000
2.2534,150.9492,10.0881,50.3062,90.5549,0.0000,0.0030,10.0000
2.2707,155.5080,10.4956,53.8536,91.1588,0.0000,0.0030,10.0000
2.2879,152.8571,10.0169,51.1488,91.6913,0.0000,0.0030,10.0000
2.3052,149.4171,10.0520,50.2349,89.1302,0.0000,0.0030,10.0000
2.3224,157.5589,10.4949,54.0241,93.0399,0.0000,0.0030,10.0000
2.3397,153.9730,10.2445,50.6789,93.0497,0.0000,0.0030,10.0000
2.3569,153.0137,10.5139,51.8706,90.6293,0.0000,0.0030,10.0000
2.3741,154.4117,10.3123,53.1486,90.9509,0.0000,0.0030,10.0000
2.3914,154.5551,10.7314,50.1270,93.6966,0.0000,0.0030,10.0000
2.4086,150.2951,10.2915,51.8295,88.1741,0.0000,0.0030,10.0000
2.4259,155.9385,10.4644,53.9439,91.5302,0.0000,0.0030,10.0000
2.4431,151.9378,9.9241,50.8714,91.1422,0.0000,0.0030,10.0000
2.4603,149.7773,9.7949,50.7149,89.2675,0.0000,0.0030,10.0000
2.4776,154.3164,10.3510,52.4284,91.5370,0.0000,0.0030,10.0000
2.4948,153.1660,10.5253,50.7738,91.8669,0.0000,0.0030,10.0000
2.5121,151.2083,10.2793,50.7156,90.2134,0.0000,0.0030,10.0000
2.5293,152.7790,10.2635,51.5626,90.9529,0.0000,0.0030,10.0000
2.5466,152.4541,10.1370,51.9912,90.3259,0.0000,0.0030,10.0000
2.5638,151.2637,10.1923,51.5270,89.5444,0.0000,0.0030,10.0000
2.5810,154.9008,10.4581,53.1208,91.3219,0.0000,0.0030,10.0000
2.5983,151.9664,10.0355,49.7697,92.1612,0.0000,0.0030,10.0000
2.6155,149.4386,10.2316,50.6503,88.5567,0.0000,0.0030,10.0000
2.6328,155.7658,10.2225,54.5804,90.9628,0.0000,0.0030,10.0000
2.6500,154.4617,9.9584,51.8395,92.6638,0.0000,0.0030,10.0000
2.6672,153.7576,10.4316,50.9592,92.3668,0.0000,0.0030,10.0000
2.6845,152.6189,10.0963,52.0886,90.4340,0.0000,0.0030,10.0000
2.7017,151.8304,10.3169,52.0615,89.4520,0.0000,0.0030,10.0000
2.7190,150.5048,10.3100,49.8825,90.3123,0.0000,0.0030,10.0000
2.7362,149.5157,10.1141,50.8836,88.5179,0.0000,0.0030,10.0000
2.7534,154.7161,11.0554,52.8140,90.8468,0.0000,0.0030,10.0000
2.7707,147.9918,10.0394,48.8743,89.0781,0.0000,0.0030,10.0000
2.7879,151.9376,10.4304,53.1972,88.3099,0.0000,0.0030,10.0000
2.8052,151.0123,10.1562,50.1355,90.7206,0.0000,0.0030,10.0000
2.8224,151.9967,9.8007,51.9252,90.2708,0.0000,0.0030,10.0000
2.8397,152.1854,10.5080,51.7089,89.9684,0.0000,0.0030,10.0000
2.8569,153.7790,10.2824,51.7769,91.7197,0.0000,0.0030,10.0000
2.8741,152.2491,10.3362,51.5557,90.3572,0.0000,0.0030,10.0000
2.8914,154.3489,10.3330,52.4299,91.5861,0.0000,0.0030,10.0000
2.9086,155.2724,10.3446,53.3710,91.5568,0.0000,0.0030,10.0000
2.9259,151.4394,10.1794,48.7046,92.5555,0.0000,0.0030,10.0000
2.9431,148.6947,9.9878,51.7585,86.9484,0.0000,0.0030,10.0000
2.9603,148.1725,10.3190,49.7446,88.1089,0.0000,0.0030,10.0000
2.9776,151.4511,10.0848,51.7260,89.6402,0.0000,0.0030,10.0000
2.9948,151.6578,10.3466,52.3822,88.9289,0.0000,0.0030,10.0000
3.0103,106.9076,7.2568,34.9737,64.6772,0.0000,0.0030,10.0000
3.0276,150.8594,10.3114,51.2452,89.3027,0.0000,0.0030,10.0000
3.0448,149.7722,10.2352,51.4475,88.0895,0.0000,0.0030,10.0000
3.0621,151.9469,10.4177,50.6832,90.8460,0.0000,0.0030,10.0000
3.0793,154.6127,10.3421,51.9325,92.3381,0.0000,0.0030,10.0000
3.0966,153.4269,10.2889,51.9369,91.2010,0.0000,0.0030,10.0000
3.1138,154.7056,10.2745,52.7717,91.6594,0.0000,0.0030,10.0000
3.1310,150.6564,10.2367,49.8311,90.5886,0.0000,0.0030,10.0000
3.1483,149.8819,10.2897,50.8258,88.7664,0.0000,0.0030,10.0000
3.1655,154.0161,10.9051,51.9945,91.1165,0.0000,0.0030,10.0000
3.1828,151.3053,10.3414,51.1902,89.7736,0.0000,0.0030,10.0000
3.2000,152.7459,10.0739,51.5807,91.0913,0.0000,0.0030,10.0000
3.2172,148.2956,9.9793,50.1884,88.1279,0.0000,0.0030,10.0000
3.2345,148.3924,10.3235,50.7536,87.3153,0.0000,0.0030,10.0000
3.2517,150.8471,10.1513,50.6697,90.0261,0.0000,0.0030,10.0000
3.2690,154.0279,10.4363,52.8151,90.7765,0.0000,0.0030,10.0000
3.2862,154.1438,9.9824,52.2801,91.8813,0.0000,0.0030,10.0000
3.3034,148.2194,10.0594,49.4685,88.6915,0.0000,0.0030,10.0000
3.3207,155.6132,10.3463,53.5899,91.6770,0.0000,0.0030,10.0000
3.3379,150.7220,10.4349,49.1991,91.0881,0.0000,0.0030,10.0000
3.3552,151.1468,10.4262,51.9383,88.7824,0.0000,0.0030,10.0000
