epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.0262,85.2793,6.5642,78.7151,0.0000,0.0000,0.0090,3.0000
0.0554,55.5491,9.7803,45.7688,0.0000,0.0000,0.0090,3.0000
0.0845,48.7651,12.2565,36.5086,0.0000,0.0000,0.0090,3.0000
0.1137,44.9374,11.1129,33.8246,0.0000,0.0000,0.0090,3.0000
0.1429,43.9293,12.1851,31.7442,0.0000,0.0000,0.0090,3.0000
0.1720,41.2599,11.9517,29.3081,0.0000,0.0000,0.0090,3.0000
0.2012,41.7758,11.6706,30.1053,0.0000,0.0000,0.0090,3.0000
0.2303,40.8112,11.8243,28.9869,0.0000,0.0000,0.0090,3.0000
0.2595,41.3858,11.7574,29.6285,0.0000,0.0000,0.0090,3.0000
0.2886,41.3145,11.7805,29.5340,0.0000,0.0000,0.0090,3.0000
0.3178,42.1314,11.6247,30.5068,0.0000,0.0000,0.0090,3.0000
0.3469,39.3575,11.2252,28.1323,0.0000,0.0000,0.0090,3.0000
0.3761,38.5841,11.0712,27.5129,0.0000,0.0000,0.0090,3.0000
0.4052,39.4745,11.4319,28.0426,0.0000,0.0000,0.0090,3.0000
0.4344,38.4423,11.5588,26.8835,0.0000,0.0000,0.0090,3.0000
0.4636,39.8425,11.5549,28.2875,0.0000,0.0000,0.0090,3.0000
0.4927,38.0372,11.1603,26.8769,0.0000,0.0000,0.0090,3.0000
0.5219,36.9151,11.7351,25.1800,0.0000,0.0000,0.0090,3.0000
0.5510,37.5814,11.1520,26.4294,0.0000,0.0000,0.0090,3.0000
0.5802,36.1335,11.0377,25.0958,0.0000,0.0000,0.0090,3.0000
0.6093,34.1472,10.7377,23.4094,0.0000,0.0000,0.0090,3.0000
0.6385,35.1214,11.0915,24.0299,0.0000,0.0000,0.0090,3.0000
0.6676,34.8049,10.9866,23.8183,0.0000,0.0000,0.0090,3.0000
0.6968,37.0268,11.0830,25.9438,0.0000,0.0000,0.0090,3.0000
0.7259,34.3645,10.7126,23.6519,0.0000,0.0000,0.0090,3.0000
0.7551,36.6144,11.3067,25.3077,0.0000,0.0000,0.0090,3.0000
0.7843,31.9831,10.3193,21.6638,0.0000,0.0000,0.0090,3.0000
0.8134,34.7519,10.6490,24.1029,0.0000,0.0000,0.0090,3.0000
0.8426,34.1750,10.6742,23.5009,0.0000,0.0000,0.0090,3.0000
0.8717,35.9064,10.9582,24.9483,0.0000,0.0000,0.0090,3.0000
0.9009,35.6825,11.3058,24.3767,0.0000,0.0000,0.0090,3.0000
0.9300,32.5477,10.5740,21.9736,0.0000,0.0000,0.0090,3.0000
0.9592,33.3082,10.9362,22.3720,0.0000,0.0000,0.0090,3.0000
0.9883,30.7699,10.4728,20.2971,0.0000,0.0000,0.0090,3.0000
1.0146,-35.5573,6.0376,11.2963,-52.8912,0.0000,0.0030,3.0000
1.0437,-182.5490,17.1214,94.8456,-294.5159,0.0000,0.0030,3.0000
