epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.0261,36.9675,1.1712,67.8472,-172.6908,0.0000,0.0090,10.0000
0.0551,2.8102,3.1084,81.7763,-258.8089,0.0000,0.0090,10.0000
0.0841,1.1411,3.7274,84.9982,-266.6071,0.0000,0.0090,10.0000
0.1130,-22.3473,7.3851,92.7696,-328.6707,0.0000,0.0090,10.0000
0.1420,-21.0531,6.6892,90.7564,-322.6772,0.0000,0.0090,10.0000
0.1710,-41.1050,8.0251,86.8615,-361.5578,0.0000,0.0090,10.0000
0.2000,-36.2274,7.5355,97.2558,-361.2177,0.0000,0.0090,10.0000
0.2290,-35.6058,7.5472,89.3030,-352.0453,0.0000,0.0090,10.0000
0.2580,-49.9114,7.5761,86.3064,-377.7175,0.0000,0.0090,10.0000
0.2870,-41.9089,7.2699,84.8237,-359.6176,0.0000,0.0090,10.0000
0.3159,-55.6400,8.4910,91.8657,-396.5640,0.0000,0.0090,10.0000
0.3449,-57.4598,7.7149,83.5905,-390.3761,0.0000,0.0090,10.0000
0.3739,-58.9965,8.1726,90.0955,-400.8699,0.0000,0.0090,10.0000
0.4029,-63.2790,7.9998,90.6736,-409.6674,0.0000,0.0090,10.0000
0.4319,-43.0597,8.2588,99.8178,-378.8910,0.0000,0.0090,10.0000
0.4609,-30.0511,8.7718,86.3176,-340.3994,0.0000,0.0090,10.0000
0.4899,-37.8631,8.5813,85.4965,-354.8216,0.0000,0.0090,10.0000
0.5188,-58.8087,10.4224,91.9633,-406.8616,0.0000,0.0090,10.0000
0.5478,-66.8249,7.9885,90.6427,-416.7057,0.0000,0.0090,10.0000
0.5768,-61.8349,8.8447,103.5821,-421.3774,0.0000,0.0090,10.0000
0.6058,-31.4554,8.9835,92.3037,-349.6179,0.0000,0.0090,10.0000
0.6348,-42.3185,8.0480,85.4352,-362.6044,0.0000,0.0090,10.0000
0.6638,-66.9208,9.0949,91.3127,-419.7803,0.0000,0.0090,10.0000
0.6928,-65.3345,9.0264,90.0776,-415.2356,0.0000,0.0090,10.0000
0.7217,-70.5841,9.7089,89.7737,-426.7959,0.0000,0.0090,10.0000
0.7507,-63.3209,10.5735,91.2217,-415.4469,0.0000,0.0090,10.0000
0.7797,-73.1173,9.0253,100.9536,-441.6751,0.0000,0.0090,10.0000
0.8087,-47.7656,8.8528,83.1231,-372.7961,0.0000,0.0090,10.0000
0.8377,-74.7959,10.0382,91.3346,-437.4391,0.0000,0.0090,10.0000
0.8667,-40.4656,10.4759,99.8544,-378.1736,0.0000,0.0090,10.0000
0.8957,-50.0747,9.8591,83.6058,-379.9098,0.0000,0.0090,10.0000
0.9246,-58.4963,10.8068,91.0801,-406.1224,0.0000,0.0090,10.0000
0.9536,-63.9421,9.3139,89.2829,-412.2312,0.0000,0.0090,10.0000
0.9826,-69.3051,9.9925,86.8971,-421.9286,0.0000,0.0090,10.0000
