epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.0155,67.8651,3.5302,64.3348,0.0000,0.0000,0.0090,3.0000
0.0328,47.9882,4.7336,43.2546,0.0000,0.0000,0.0090,3.0000
0.0500,45.0257,4.6550,40.3707,0.0000,0.0000,0.0090,3.0000
0.0672,36.9662,4.4539,32.5123,0.0000,0.0000,0.0090,3.0000
0.0845,38.5520,4.9765,33.5756,0.0000,0.0000,0.0090,3.0000
0.1017,37.3396,4.7196,32.6200,0.0000,0.0000,0.0090,3.0000
0.1190,36.8343,4.4715,32.3628,0.0000,0.0000,0.0090,3.0000
0.1362,47.5658,6.0790,41.4867,0.0000,0.0000,0.0090,3.0000
0.1534,48.2203,5.9237,42.2966,0.0000,0.0000,0.0090,3.0000
0.1707,42.1961,5.3641,36.8320,0.0000,0.0000,0.0090,3.0000
0.1879,41.3105,5.6126,35.6979,0.0000,0.0000,0.0090,3.0000
0.2052,37.6633,5.6234,32.0399,0.0000,0.0000,0.0090,3.0000
0.2224,40.0832,4.9492,35.1339,0.0000,0.0000,0.0090,3.0000
0.2397,43.1281,5.3133,37.8148,0.0000,0.0000,0.0090,3.0000
0.2569,36.8132,4.5453,32.2679,0.0000,0.0000,0.0090,3.0000
0.2741,42.3657,5.0419,37.3238,0.0000,0.0000,0.0090,3.0000
0.2914,42.6019,4.9692,37.6326,0.0000,0.0000,0.0090,3.0000
0.3086,35.5734,4.5609,31.0125,0.0000,0.0000,0.0090,3.0000
0.3259,34.9123,4.5063,30.4060,0.0000,0.0000,0.0090,3.0000
0.3431,32.6853,4.6529,28.0324,0.0000,0.0000,0.0090,3.0000
0.3603,31.9019,4.1029,27.7990,0.0000,0.0000,0.0090,3.0000
0.3776,35.3675,4.6695,30.6979,0.0000,0.0000,0.0090,3.0000
0.3948,39.1877,4.7092,34.4785,0.0000,0.0000,0.0090,3.0000
0.4121,33.2819,4.3661,28.9159,0.0000,0.0000,0.0090,3.0000
0.4293,32.6508,4.3000,28.3508,0.0000,0.0000,0.0090,3.0000
0.4466,36.3528,4.7010,31.6518,0.0000,0.0000,0.0090,3.0000
0.4638,33.4665,4.3245,29.1421,0.0000,0.0000,0.0090,3.0000
0.4810,35.5337,4.8397,30.6941,0.0000,0.0000,0.0090,3.0000
0.4983,36.9490,4.6081,32.3409,0.0000,0.0000,0.0090,3.0000
0.5155,33.6186,4.5016,29.1170,0.0000,0.0000,0.0090,3.0000
0.5328,34.9147,4.4759,30.4388,0.0000,0.0000,0.0090,3.0000
0.5500,34.4036,4.4586,29.9449,0.0000,0.0000,0.0090,3.0000
0.5672,37.0453,4.7437,32.3016,0.0000,0.0000,0.0090,3.0000
0.5845,32.6271,4.1376,28.4895,0.0000,0.0000,0.0090,3.0000
0.6017,35.4585,4.5664,30.8920,0.0000,0.0000,0.0090,3.0000
0.6190,38.1907,4.5427,33.6481,0.0000,0.0000,0.0090,3.0000
0.6362,39.4439,4.6492,34.7946,0.0000,0.0000,0.0090,3.0000
0.6534,36.0526,4.5332,31.5194,0.0000,0.0000,0.0090,3.0000
0.6707,38.8957,4.3097,34.5861,0.0000,0.0000,0.0090,3.0000
0.6879,45.4032,4.4388,40.9645,0.0000,0.0000,0.0090,3.0000
0.7052,41.6238,4.8677,36.7561,0.0000,0.0000,0.0090,3.0000
0.7224,45.1098,4.3474,40.7624,0.0000,0.0000,0.0090,3.0000
0.7397,45.0752,4.3480,40.7272,0.0000,0.0000,0.0090,3.0000
0.7569,38.7586,3.8338,34.9248,0.0000,0.0000,0.0090,3.0000
0.7741,42.5126,4.0722,38.4403,0.0000,0.0000,0.0090,3.0000
0.7914,37.0375,3.5283,33.5092,0.0000,0.0000,0.0090,3.0000
0.8086,43.4385,3.9772,39.4612,0.0000,0.0000,0.0090,3.0000
0.8259,38.2010,4.0717,34.1294,0.0000,0.0000,0.0090,3.0000
0.8431,44.5828,4.3997,40.1832,0.0000,0.0000,0.0090,3.0000
0.8603,43.1181,4.9434,38.1748,0.0000,0.0000,0.0090,3.0000
0.8776,37.7803,4.0847,33.6956,0.0000,0.0000,0.0090,3.0000
