epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.0155,73.1158,3.4599,69.6559,0.0000,0.0000,0.0090,3.0000
0.0328,52.4360,4.1404,48.2955,0.0000,0.0000,0.0090,3.0000
0.0500,40.2423,4.1664,36.0759,0.0000,0.0000,0.0090,3.0000
0.0672,41.9520,5.1620,36.7900,0.0000,0.0000,0.0090,3.0000
0.0845,41.6590,4.9571,36.7019,0.0000,0.0000,0.0090,3.0000
0.1017,39.2708,5.2696,34.0012,0.0000,0.0000,0.0090,3.0000
0.1190,37.6675,4.9709,32.6966,0.0000,0.0000,0.0090,3.0000
0.1362,35.2590,4.9645,30.2945,0.0000,0.0000,0.0090,3.0000
0.1534,47.2890,5.4997,41.7893,0.0000,0.0000,0.0090,3.0000
0.1707,41.7526,4.2522,37.5004,0.0000,0.0000,0.0090,3.0000
0.1879,43.0502,4.7853,38.2648,0.0000,0.0000,0.0090,3.0000
0.2052,35.0150,3.9463,31.0687,0.0000,0.0000,0.0090,3.0000
0.2224,37.5338,4.8332,32.7007,0.0000,0.0000,0.0090,3.0000
0.2397,34.5679,4.9579,29.6101,0.0000,0.0000,0.0090,3.0000
0.2569,37.4358,5.3926,32.0432,0.0000,0.0000,0.0090,3.0000
0.2741,38.8903,5.7752,33.1151,0.0000,0.0000,0.0090,3.0000
0.2914,35.7940,6.0929,29.7011,0.0000,0.0000,0.0090,3.0000
0.3086,35.7407,5.5354,30.2053,0.0000,0.0000,0.0090,3.0000
0.3259,39.4814,5.7153,33.7661,0.0000,0.0000,0.0090,3.0000
0.3431,37.6779,6.0676,31.6103,0.0000,0.0000,0.0090,3.0000
0.3603,36.6093,5.0982,31.5111,0.0000,0.0000,0.0090,3.0000
0.3776,39.5634,5.4627,34.1008,0.0000,0.0000,0.0090,3.0000
0.3948,52.1778,6.1704,46.0074,0.0000,0.0000,0.0090,3.0000
0.4121,43.8089,6.3020,37.5069,0.0000,0.0000,0.0090,3.0000
0.4293,46.9747,5.5565,41.4182,0.0000,0.0000,0.0090,3.0000
0.4466,44.3310,5.8585,38.4725,0.0000,0.0000,0.0090,3.0000
0.4638,40.7816,4.8837,35.8980,0.0000,0.0000,0.0090,3.0000
0.4810,45.2209,4.8690,40.3519,0.0000,0.0000,0.0090,3.0000
0.4983,42.3362,5.2895,37.0467,0.0000,0.0000,0.0090,3.0000
0.5155,41.9049,5.6233,36.2816,0.0000,0.0000,0.0090,3.0000
0.5328,48.7244,5.4860,43.2384,0.0000,0.0000,0.0090,3.0000
0.5500,37.9432,4.7283,33.2149,0.0000,0.0000,0.0090,3.0000
0.5672,39.0226,4.7204,34.3022,0.0000,0.0000,0.0090,3.0000
0.5845,40.4159,4.6285,35.7875,0.0000,0.0000,0.0090,3.0000
0.6017,38.7338,4.8691,33.8647,0.0000,0.0000,0.0090,3.0000
0.6190,38.8594,4.9668,33.8926,0.0000,0.0000,0.0090,3.0000
0.6362,34.4985,5.0070,29.4915,0.0000,0.0000,0.0090,3.0000
0.6534,33.7376,4.5604,29.1772,0.0000,0.0000,0.0090,3.0000
0.6707,35.0867,5.1589,29.9278,0.0000,0.0000,0.0090,3.0000
0.6879,32.3300,4.5773,27.7527,0.0000,0.0000,0.0090,3.0000
0.7052,40.3557,5.6631,34.6926,0.0000,0.0000,0.0090,3.0000
0.7224,38.3759,4.9929,33.3830,0.0000,0.0000,0.0090,3.0000
0.7397,33.9396,4.8324,29.1072,0.0000,0.0000,0.0090,3.0000
0.7569,35.6078,4.8466,30.7613,0.0000,0.0000,0.0090,3.0000
0.7741,37.8586,5.2559,32.6027,0.0000,0.0000,0.0090,3.0000
0.7914,36.0784,4.6880,31.3904,0.0000,0.0000,0.0090,3.0000
0.8086,42.1928,5.6314,36.5614,0.0000,0.0000,0.0090,3.0000
0.8259,37.4787,4.8313,32.6474,0.0000,0.0000,0.0090,3.0000
0.8431,35.1484,4.8736,30.2748,0.0000,0.0000,0.0090,3.0000
0.8603,34.5651,4.9275,29.6376,0.0000,0.0000,0.0090,3.0000
0.8776,39.0242,5.4210,33.6032,0.0000,0.0000,0.0090,3.0000
0.8948,34.0723,4.8522,29.2202,0.0000,0.0000,0.0090,3.0000
0.9121,38.4617,5.1416,33.3201,0.0000,0.0000,0.0090,3.0000
0.9293,31.7309,4.6454,27.0855,0.0000,0.0000,0.0090,3.0000
0.9466,38.8656,4.8988,33.9667,0.0000,0.0000,0.0090,3.0000
0.9638,37.6198,5.2796,32.3402,0.0000,0.0000,0.0090,3.0000
0.9810,36.1006,4.5293,31.5713,0.0000,0.0000,0.0090,3.0000
0.9983,40.9969,5.6735,35.3235,0.0000,0.0000,0.0090,3.0000
1.0138,-53.4226,4.1244,28.2234,-85.7705,0.0000,0.0030,3.0000
1.0310,-147.8169,9.3534,95.6901,-252.8605,0.0000,0.0030,3.0000
1.0483,-174.9461,8.9290,92.1183,-275.9935,0.0000,0.0030,3.0000
1.0655,-180.9031,8.2967,93.1431,-282.3429,0.0000,0.0030,3.0000
1.0828,-200.4216,9.1453,94.8179,-304.3847,0.0000,0.0030,3.0000
1.1000,-192.4673,8.8795,93.6503,-294.9971,0.0000,0.0030,3.0000
1.1172,-191.9021,9.4904,90.1919,-291.5845,0.0000,0.0030,3.0000
1.1345,-201.1596,9.4680,95.7464,-306.3739,0.0000,0.0030,3.0000
1.1517,-198.7469,9.6748,93.3472,-301.7689,0.0000,0.0030,3.0000
1.1690,-200.0334,10.0184,96.4681,-306.5199,0.0000,0.0030,3.0000
1.1862,-196.2317,9.9586,92.1340,-298.3242,0.0000,0.0030,3.0000
1.2034,-205.9381,9.9625,91.8294,-307.7300,0.0000,0.0030,3.0000
1.2207,-207.7006,10.0326,96.8995,-314.6328,0.0000,0.0030,3.0000
1.2379,-202.5147,10.8324,95.0595,-308.4066,0.0000,0.0030,3.0000
1.2552,-204.5172,10.4220,93.0064,-307.9455,0.0000,0.0030,3.0000
1.2724,-212.6875,10.2342,95.0330,-317.9547,0.0000,0.0030,3.0000
1.2897,-209.4065,10.6239,94.1906,-314.2209,0.0000,0.0030,3.0000
1.3069,-213.0794,10.2191,92.7509,-316.0494,0.0000,0.0030,3.0000
1.3241,-205.7742,10.2698,95.2891,-311.3332,0.0000,0.0030,3.0000
1.3414,-209.7642,10.8915,95.3599,-316.0156,0.0000,0.0030,3.0000
1.3586,-213.0283,10.8355,93.7076,-317.5715,0.0000,0.0030,3.0000
1.3759,-210.6220,10.5118,93.4514,-314.5852,0.0000,0.0030,3.0000
1.3931,-216.9617,10.7738,95.2969,-323.0325,0.0000,0.0030,3.0000
1.4103,-212.7976,10.6547,96.4220,-319.8743,0.0000,0.0030,3.0000
1.4276,-213.9745,10.9716,90.0946,-315.0407,0.0000,0.0030,3.0000
1.4448,-215.8966,10.4632,97.3827,-323.7425,0.0000,0.0030,3.0000
1.4621,-222.2689,10.4042,92.2789,-324.9521,0.0000,0.0030,3.0000
1.4793,-219.8435,10.7811,97.3492,-327.9737,0.0000,0.0030,3.0000
1.4966,-214.2032,10.9261,93.3938,-318.5232,0.0000,0.0030,3.0000
1.5138,-217.6554,10.9566,94.1927,-322.8046,0.0000,0.0030,3.0000
1.5310,-224.8305,10.9856,95.6780,-331.4941,0.0000,0.0030,3.0000
1.5483,-215.3749,11.0556,95.7969,-322.2274,0.0000,0.0030,3.0000
1.5655,-215.5950,10.4900,94.1329,-320.2179,0.0000,0.0030,3.0000
1.5828,-217.9894,10.9852,94.9786,-323.9532,0.0000,0.0030,3.0000
1.6000,-222.7476,10.5198,93.1348,-326.4022,0.0000,0.0030,3.0000
1.6172,-222.5028,11.1304,93.7367,-327.3699,0.0000,0.0030,3.0000
1.6345,-216.7365,10.7964,97.0568,-324.5897,0.0000,0.0030,3.0000
1.6517,-223.0143,11.0878,92.0115,-326.1135,0.0000,0.0030,3.0000
1.6690,-228.8881,10.8535,94.8225,-334.5641,0.0000,0.0030,3.0000
1.6862,-219.5969,10.9084,95.9300,-326.4353,0.0000,0.0030,3.0000
1.7034,-220.7688,11.1418,93.2338,-325.1443,0.0000,0.0030,3.0000
1.7207,-220.3309,11.1008,95.4409,-326.8726,0.0000,0.0030,3.0000
1.7379,-229.0028,10.9629,94.5174,-334.4831,0.0000,0.0030,3.0000
1.7552,-227.7254,11.2035,96.0643,-334.9932,0.0000,0.0030,3.0000
1.7724,-229.4529,10.9457,94.6872,-335.0858,0.0000,0.0030,3.0000
