epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.0155,27.6410,4.9615,76.8528,-54.1733,0.0000,0.0090,1.0000
0.0328,-29.9379,8.6264,90.9615,-129.5258,0.0000,0.0090,1.0000
0.0500,-55.5058,11.0142,86.2291,-152.7491,0.0000,0.0090,1.0000
0.0672,-72.2603,10.6766,87.2658,-170.2027,0.0000,0.0090,1.0000
0.0845,-72.4339,11.2547,92.7422,-176.4308,0.0000,0.0090,1.0000
0.1017,-74.4915,10.8067,90.0848,-175.3830,0.0000,0.0090,1.0000
0.1190,-78.9818,11.4567,91.7724,-182.2110,0.0000,0.0090,1.0000
0.1362,-88.9083,12.1097,92.2779,-193.2959,0.0000,0.0090,1.0000
0.1534,-81.6865,12.5811,94.5910,-188.8586,0.0000,0.0090,1.0000
0.1707,-86.2641,11.9748,94.5925,-192.8315,0.0000,0.0090,1.0000
0.1879,-88.2758,11.8975,85.9829,-186.1563,0.0000,0.0090,1.0000
0.2052,-89.7035,11.6208,94.3957,-195.7200,0.0000,0.0090,1.0000
0.2224,-99.7221,11.3764,90.7631,-201.8616,0.0000,0.0090,1.0000
0.2397,-98.5573,12.2944,95.9510,-206.8026,0.0000,0.0090,1.0000
0.2569,-98.1610,11.5471,93.4554,-203.1635,0.0000,0.0090,1.0000
0.2741,-103.8314,11.5444,95.9455,-211.3213,0.0000,0.0090,1.0000
0.2914,-107.3374,11.6137,89.5855,-208.5366,0.0000,0.0090,1.0000
0.3086,-97.8661,11.6007,94.6990,-204.1658,0.0000,0.0090,1.0000
0.3259,-96.8617,11.2624,91.2680,-199.3920,0.0000,0.0090,1.0000
0.3431,-102.8642,11.9609,94.0695,-208.8946,0.0000,0.0090,1.0000
0.3603,-99.9246,11.1342,94.3427,-205.4015,0.0000,0.0090,1.0000
0.3776,-99.6533,11.2268,94.4692,-205.3493,0.0000,0.0090,1.0000
0.3948,-100.7246,11.4407,92.2980,-204.4633,0.0000,0.0090,1.0000
0.4121,-102.7441,11.5791,93.0069,-207.3301,0.0000,0.0090,1.0000
0.4293,-102.2873,11.7137,95.2085,-209.2096,0.0000,0.0090,1.0000
0.4466,-105.2572,11.3797,93.4009,-210.0378,0.0000,0.0090,1.0000
0.4638,-108.2071,11.5416,94.1727,-213.9214,0.0000,0.0090,1.0000
0.4810,-109.1914,12.3116,93.9496,-215.4527,0.0000,0.0090,1.0000
0.4983,-104.7671,11.4457,93.2509,-209.4637,0.0000,0.0090,1.0000
0.5155,-105.0131,11.3235,94.7857,-211.1222,0.0000,0.0090,1.0000
0.5328,-113.3010,11.0628,93.9763,-218.3401,0.0000,0.0090,1.0000
0.5500,-109.8786,11.5725,94.3792,-215.8303,0.0000,0.0090,1.0000
0.5672,-109.6264,11.0886,92.3911,-213.1060,0.0000,0.0090,1.0000
0.5845,-115.1776,11.0672,94.8625,-221.1073,0.0000,0.0090,1.0000
0.6017,-106.5059,11.3925,92.2009,-210.0993,0.0000,0.0090,1.0000
0.6190,-112.7427,11.6783,96.4519,-220.8729,0.0000,0.0090,1.0000
0.6362,-113.0483,12.1676,93.2681,-218.4840,0.0000,0.0090,1.0000
0.6534,-110.1618,11.0801,92.8690,-214.1110,0.0000,0.0090,1.0000
0.6707,-109.1778,11.2742,94.6252,-215.0772,0.0000,0.0090,1.0000
0.6879,-115.7191,11.3859,94.1928,-221.2977,0.0000,0.0090,1.0000
0.7052,-111.3486,11.6341,93.2460,-216.2287,0.0000,0.0090,1.0000
0.7224,-116.4182,11.4107,95.1358,-222.9647,0.0000,0.0090,1.0000
0.7397,-115.0429,11.3505,94.5226,-220.9160,0.0000,0.0090,1.0000
0.7569,-111.5433,12.0690,91.4757,-215.0880,0.0000,0.0090,1.0000
0.7741,-114.8937,11.3110,95.9070,-222.1117,0.0000,0.0090,1.0000
0.7914,-109.7245,11.5997,95.3090,-216.6331,0.0000,0.0090,1.0000
0.8086,-110.3852,11.6138,91.2822,-213.2812,0.0000,0.0090,1.0000
0.8259,-112.6681,11.6749,94.7830,-219.1260,0.0000,0.0090,1.0000
0.8431,-108.4585,11.6381,93.4979,-213.5945,0.0000,0.0090,1.0000
0.8603,-114.9642,12.0106,94.1898,-221.1647,0.0000,0.0090,1.0000
0.8776,-111.8582,11.9594,97.0570,-220.8746,0.0000,0.0090,1.0000
0.8948,-112.6837,11.7202,93.8145,-218.2184,0.0000,0.0090,1.0000
0.9121,-114.5146,12.3879,92.7966,-219.6992,0.0000,0.0090,1.0000
0.9293,-118.3492,11.8030,94.4895,-224.6417,0.0000,0.0090,1.0000
0.9466,-108.3963,11.7002,94.1700,-214.2665,0.0000,0.0090,1.0000
