epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.0155,119.8991,2.6859,100.3541,-42.3639,0.0000,0.0090,1.0000
0.0328,82.6196,4.9407,81.2117,-102.2901,0.0000,0.0090,1.0000
0.0500,77.6646,4.9348,86.9899,-117.9664,0.0000,0.0090,1.0000
0.0672,70.6224,4.9616,89.2278,-134.3423,0.0000,0.0090,1.0000
0.0845,61.0316,4.9579,95.3460,-159.6348,0.0000,0.0090,1.0000
0.1017,64.2331,6.8024,89.8581,-151.4328,0.0000,0.0090,1.0000
0.1190,55.7711,6.3228,85.8557,-163.3954,0.0000,0.0090,1.0000
0.1362,48.7269,6.7564,92.7747,-185.2699,0.0000,0.0090,1.0000
0.1534,47.3449,6.1804,93.4669,-187.5740,0.0000,0.0090,1.0000
0.1707,47.0216,6.5834,93.3865,-188.9462,0.0000,0.0090,1.0000
0.1879,46.1549,6.3024,90.0619,-186.7933,0.0000,0.0090,1.0000
0.2052,40.1245,6.5814,92.9844,-202.3344,0.0000,0.0090,1.0000
0.2224,41.1722,7.7977,92.7914,-202.4786,0.0000,0.0090,1.0000
0.2397,36.7282,7.3898,92.3255,-210.0849,0.0000,0.0090,1.0000
0.2569,38.9332,7.5700,94.4227,-208.1326,0.0000,0.0090,1.0000
0.2741,38.2125,7.3107,91.2900,-205.9225,0.0000,0.0090,1.0000
0.2914,35.2754,7.6206,92.3861,-213.5128,0.0000,0.0090,1.0000
0.3086,38.7178,7.3225,94.8611,-208.5067,0.0000,0.0090,1.0000
0.3259,39.4992,8.1325,95.8176,-209.5204,0.0000,0.0090,1.0000
0.3431,44.0497,7.6250,90.5764,-194.1631,0.0000,0.0090,1.0000
0.3603,54.7914,7.8823,100.5293,-183.1475,0.0000,0.0090,1.0000
0.3776,56.5578,7.2579,86.7203,-164.5567,0.0000,0.0090,1.0000
0.3948,50.6263,7.5626,93.8836,-184.1926,0.0000,0.0090,1.0000
0.4121,37.6742,7.3316,90.6660,-206.4171,0.0000,0.0090,1.0000
0.4293,37.6868,7.6537,92.4318,-208.8018,0.0000,0.0090,1.0000
0.4466,38.5774,7.9566,95.4336,-210.6282,0.0000,0.0090,1.0000
0.4638,33.4513,7.3827,95.0620,-219.3611,0.0000,0.0090,1.0000
0.4810,31.4194,7.6772,89.8906,-218.8425,0.0000,0.0090,1.0000
0.4983,28.5665,7.6303,92.5518,-227.1155,0.0000,0.0090,1.0000
0.5155,31.3122,8.0210,96.4733,-226.3270,0.0000,0.0090,1.0000
0.5328,28.3906,7.6832,92.7729,-227.7944,0.0000,0.0090,1.0000
0.5500,29.3126,8.3552,94.2530,-228.7744,0.0000,0.0090,1.0000
0.5672,28.7415,7.7104,93.9011,-228.2751,0.0000,0.0090,1.0000
0.5845,29.6340,7.6105,93.9842,-226.3735,0.0000,0.0090,1.0000
0.6017,30.3381,8.1272,94.7324,-226.7468,0.0000,0.0090,1.0000
0.6190,26.3994,8.0192,93.7932,-233.4689,0.0000,0.0090,1.0000
0.6362,24.9464,8.4398,93.6796,-237.1024,0.0000,0.0090,1.0000
0.6534,35.0393,7.4196,95.6998,-216.8967,0.0000,0.0090,1.0000
0.6707,31.2602,7.8392,90.8920,-220.4863,0.0000,0.0090,1.0000
0.6879,28.8389,8.0798,95.6403,-230.5584,0.0000,0.0090,1.0000
0.7052,26.7967,7.9803,94.0414,-232.8448,0.0000,0.0090,1.0000
0.7224,26.4363,8.6104,92.3158,-233.1002,0.0000,0.0090,1.0000
0.7397,27.4407,9.0255,95.8378,-235.4437,0.0000,0.0090,1.0000
0.7569,24.8275,8.7583,92.7040,-237.0018,0.0000,0.0090,1.0000
0.7741,21.3816,9.0303,97.4270,-249.1606,0.0000,0.0090,1.0000
0.7914,26.7419,9.0456,93.0536,-234.0972,0.0000,0.0090,1.0000
0.8086,25.7383,9.1307,93.7705,-236.9914,0.0000,0.0090,1.0000
0.8259,22.5066,9.3149,95.7511,-245.8039,0.0000,0.0090,1.0000
0.8431,24.3003,9.3638,93.4387,-240.0019,0.0000,0.0090,1.0000
0.8603,21.1301,9.0898,95.5154,-247.8709,0.0000,0.0090,1.0000
0.8776,20.2993,9.1018,93.1167,-247.1579,0.0000,0.0090,1.0000
0.8948,23.0310,9.6138,94.2189,-243.8208,0.0000,0.0090,1.0000
0.9121,17.9971,9.3806,93.1945,-252.3976,0.0000,0.0090,1.0000
0.9293,18.8077,9.5245,95.4158,-253.2855,0.0000,0.0090,1.0000
0.9466,26.5821,9.3518,94.6042,-236.5799,0.0000,0.0090,1.0000
0.9638,23.6266,8.9580,97.4024,-244.5014,0.0000,0.0090,1.0000
0.9810,27.3874,9.6622,97.2977,-238.2834,0.0000,0.0090,1.0000
0.9983,30.9220,9.1716,90.5745,-223.5100,0.0000,0.0090,1.0000
1.0138,20.1974,8.1977,82.3332,-217.1264,0.0000,0.0030,1.0000
1.0310,13.2953,9.3827,92.3807,-260.9917,0.0000,0.0030,1.0000
1.0483,14.9883,9.7370,96.2235,-262.1570,0.0000,0.0030,1.0000
1.0655,14.8490,9.6331,93.3710,-259.3754,0.0000,0.0030,1.0000
1.0828,12.8006,9.7674,92.9776,-263.3473,0.0000,0.0030,1.0000
1.1000,15.4214,9.7953,95.8036,-260.9876,0.0000,0.0030,1.0000
1.1172,13.4847,9.5606,95.1694,-263.7574,0.0000,0.0030,1.0000
1.1345,12.4539,9.5827,96.0632,-266.7569,0.0000,0.0030,1.0000
1.1517,9.4155,9.9442,92.6202,-270.1139,0.0000,0.0030,1.0000
1.1690,12.3950,10.3468,97.6148,-269.9547,0.0000,0.0030,1.0000
1.1862,11.6750,9.9872,94.1468,-267.2074,0.0000,0.0030,1.0000
1.2034,9.2595,9.7409,94.6023,-272.0013,0.0000,0.0030,1.0000
1.2207,11.8997,9.6619,97.0486,-269.0092,0.0000,0.0030,1.0000
1.2379,11.8498,9.4914,94.5546,-266.2741,0.0000,0.0030,1.0000
1.2552,12.0062,9.6587,95.0065,-266.7478,0.0000,0.0030,1.0000
1.2724,12.5256,10.1916,96.3081,-268.0763,0.0000,0.0030,1.0000
1.2897,11.2942,9.7867,92.8306,-266.2520,0.0000,0.0030,1.0000
1.3069,6.7216,9.8355,96.0389,-278.7028,0.0000,0.0030,1.0000
1.3241,14.8511,10.3026,96.0277,-263.3668,0.0000,0.0030,1.0000
1.3414,11.4837,9.7304,95.1301,-268.0597,0.0000,0.0030,1.0000
1.3586,10.3843,9.9338,96.5085,-272.0438,0.0000,0.0030,1.0000
1.3759,14.8757,10.0674,94.3632,-261.1829,0.0000,0.0030,1.0000
1.3931,11.6808,10.0410,93.7458,-266.9023,0.0000,0.0030,1.0000
1.4103,7.0134,9.9685,98.3294,-280.6758,0.0000,0.0030,1.0000
1.4276,12.3989,10.0496,93.8930,-265.6306,0.0000,0.0030,1.0000
1.4448,9.7050,9.5904,96.8528,-273.0598,0.0000,0.0030,1.0000
1.4621,9.6945,9.6892,91.5806,-268.0060,0.0000,0.0030,1.0000
1.4793,7.5211,10.1266,99.4431,-281.0904,0.0000,0.0030,1.0000
1.4966,10.7077,10.3999,93.4484,-269.2690,0.0000,0.0030,1.0000
1.5138,7.7188,10.2615,94.0210,-275.5426,0.0000,0.0030,1.0000
1.5310,10.5425,10.1621,96.6726,-272.3479,0.0000,0.0030,1.0000
1.5483,9.7014,10.1273,92.9051,-270.1931,0.0000,0.0030,1.0000
1.5655,9.0872,9.8433,98.9774,-276.9258,0.0000,0.0030,1.0000
1.5828,11.0369,10.2878,93.3353,-268.2733,0.0000,0.0030,1.0000
1.6000,9.3684,9.9094,96.3565,-273.8748,0.0000,0.0030,1.0000
1.6172,6.8096,10.0834,93.6481,-276.6319,0.0000,0.0030,1.0000
1.6345,12.5210,10.1418,96.8943,-268.5722,0.0000,0.0030,1.0000
1.6517,10.1199,9.6035,97.6796,-273.0831,0.0000,0.0030,1.0000
1.6690,10.0611,10.1762,92.7245,-269.3911,0.0000,0.0030,1.0000
1.6862,9.2881,9.9830,97.4568,-275.2829,0.0000,0.0030,1.0000
1.7034,9.7677,10.4453,95.5436,-273.3350,0.0000,0.0030,1.0000
1.7207,9.2801,9.9437,94.0584,-271.8217,0.0000,0.0030,1.0000
1.7379,7.2251,10.0301,95.7448,-277.7910,0.0000,0.0030,1.0000
1.7552,9.9865,10.5307,96.3142,-273.8388,0.0000,0.0030,1.0000
1.7724,8.5420,9.8805,94.2777,-273.3909,0.0000,0.0030,1.0000
1.7897,8.9360,10.0935,97.4988,-276.2500,0.0000,0.0030,1.0000
1.8069,7.3706,10.1718,92.2697,-274.3082,0.0000,0.0030,1.0000
1.8241,11.3030,9.9213,97.4380,-271.1109,0.0000,0.0030,1.0000
1.8414,9.1598,10.3416,94.7793,-273.5792,0.0000,0.0030,1.0000
1.8586,7.5488,10.2815,96.3686,-278.2700,0.0000,0.0030,1.0000
1.8759,9.2390,10.1786,96.0938,-274.4093,0.0000,0.0030,1.0000
1.8931,9.0076,10.0232,97.6138,-276.0812,0.0000,0.0030,1.0000
1.9103,9.8166,10.1925,93.1202,-270.3082,0.0000,0.0030,1.0000
1.9276,8.3331,10.0191,95.1721,-274.9803,0.0000,0.0030,1.0000
1.9448,3.4682,10.0291,96.1323,-285.6905,0.0000,0.0030,1.0000
1.9621,1.7773,9.9892,92.0662,-284.9261,0.0000,0.0030,1.0000
1.9793,9.2816,10.2014,98.8517,-277.1274,0.0000,0.0030,1.0000
1.9966,8.8786,10.0460,93.8550,-272.6261,0.0000,0.0030,1.0000
2.0121,6.9712,8.0973,78.5778,-221.9790,0.0000,0.0030,1.0000
2.0293,6.1904,10.2102,93.4748,-277.9507,0.0000,0.0030,1.0000
2.0466,7.2307,10.1982,97.8667,-280.2379,0.0000,0.0030,1.0000
2.0638,9.0689,10.2086,93.5168,-272.2324,0.0000,0.0030,1.0000
2.0810,10.4319,10.0627,93.9929,-269.6906,0.0000,0.0030,1.0000
2.0983,10.2203,10.0646,95.8965,-272.0213,0.0000,0.0030,1.0000
2.1155,8.9760,10.1097,96.3814,-275.0849,0.0000,0.0030,1.0000
2.1328,7.7035,10.0632,95.4654,-276.6210,0.0000,0.0030,1.0000
2.1500,5.0966,10.1749,92.7971,-279.3899,0.0000,0.0030,1.0000
2.1672,9.1021,10.4900,98.4555,-277.6675,0.0000,0.0030,1.0000
2.1845,8.5676,10.1985,95.3326,-275.0306,0.0000,0.0030,1.0000
2.2017,8.7821,10.1276,95.7994,-274.9266,0.0000,0.0030,1.0000
2.2190,6.6860,9.9192,96.0448,-278.9474,0.0000,0.0030,1.0000
2.2362,5.3209,10.0099,94.7514,-280.5658,0.0000,0.0030,1.0000
2.2534,7.6264,10.1701,95.2199,-276.7435,0.0000,0.0030,1.0000
2.2707,8.6665,10.7290,97.3601,-277.9213,0.0000,0.0030,1.0000
2.2879,7.9621,9.9110,93.6606,-273.9946,0.0000,0.0030,1.0000
2.3052,3.9138,10.0867,93.5858,-282.3676,0.0000,0.0030,1.0000
2.3224,11.6723,10.4699,99.6155,-273.6470,0.0000,0.0030,1.0000
2.3397,9.4472,10.0071,92.8954,-270.4514,0.0000,0.0030,1.0000
2.3569,6.7749,10.1112,96.4158,-279.5245,0.0000,0.0030,1.0000
2.3741,10.6710,10.2784,95.8094,-271.4603,0.0000,0.0030,1.0000
2.3914,8.3099,10.2739,94.9174,-275.2815,0.0000,0.0030,1.0000
2.4086,7.3934,10.1700,99.2974,-281.2869,0.0000,0.0030,1.0000
2.4259,11.4197,10.0576,93.3682,-267.0803,0.0000,0.0030,1.0000
2.4431,7.2838,9.8175,96.0118,-277.5154,0.0000,0.0030,1.0000
2.4603,6.1693,10.1290,93.3493,-277.7049,0.0000,0.0030,1.0000
2.4776,7.3656,10.2922,98.3543,-280.6437,0.0000,0.0030,1.0000
2.4948,8.8635,10.5687,94.0451,-273.8917,0.0000,0.0030,1.0000
2.5121,5.8499,10.3848,94.2634,-279.7694,0.0000,0.0030,1.0000
2.5293,6.5169,10.3592,95.2226,-279.3434,0.0000,0.0030,1.0000
2.5466,8.0917,10.3504,96.3028,-277.2563,0.0000,0.0030,1.0000
2.5638,6.9956,10.0183,96.2377,-278.7193,0.0000,0.0030,1.0000
2.5810,7.5919,10.2911,96.8242,-278.6588,0.0000,0.0030,1.0000
2.5983,8.7506,10.2186,94.2518,-273.6240,0.0000,0.0030,1.0000
2.6155,5.6774,10.1284,94.5317,-279.8698,0.0000,0.0030,1.0000
2.6328,10.2855,10.3333,94.6095,-271.1415,0.0000,0.0030,1.0000
2.6500,8.2770,9.9022,98.6580,-278.3445,0.0000,0.0030,1.0000
2.6672,8.8102,10.3990,93.2142,-272.8279,0.0000,0.0030,1.0000
2.6845,7.4171,10.1683,96.2713,-278.2099,0.0000,0.0030,1.0000
2.7017,6.3851,10.5177,96.4246,-281.1259,0.0000,0.0030,1.0000
2.7190,6.9596,10.1516,93.5795,-276.3997,0.0000,0.0030,1.0000
2.7362,7.1787,10.0868,95.9622,-278.2146,0.0000,0.0030,1.0000
2.7534,9.8436,10.4527,97.0706,-274.7250,0.0000,0.0030,1.0000
2.7707,4.3159,9.9126,93.4866,-281.1163,0.0000,0.0030,1.0000
2.7879,7.1365,10.4036,98.5872,-281.5576,0.0000,0.0030,1.0000
2.8052,5.4768,10.3603,92.1767,-278.3800,0.0000,0.0030,1.0000
2.8224,8.4612,10.0413,97.4305,-277.0271,0.0000,0.0030,1.0000
2.8397,5.8549,10.3937,95.6946,-281.2085,0.0000,0.0030,1.0000
2.8569,6.7243,10.4652,94.9716,-278.8895,0.0000,0.0030,1.0000
2.8741,6.9211,10.3705,96.0029,-279.3380,0.0000,0.0030,1.0000
2.8914,8.8021,10.3580,97.1563,-276.7043,0.0000,0.0030,1.0000
2.9086,6.8461,10.3746,94.2413,-277.7345,0.0000,0.0030,1.0000
2.9259,6.7900,10.1473,94.6684,-277.8192,0.0000,0.0030,1.0000
2.9431,2.1054,10.0366,94.7245,-287.0231,0.0000,0.0030,1.0000
2.9603,0.8966,10.2395,95.2328,-290.3547,0.0000,0.0030,1.0000
2.9776,5.3827,10.3997,98.5626,-285.0329,0.0000,0.0030,1.0000
2.9948,6.2341,10.0763,93.7578,-277.8784,0.0000,0.0030,1.0000
3.0103,5.1492,7.2742,67.5808,-195.3361,0.0000,0.0030,1.0000
3.0276,3.2728,10.3296,95.8547,-286.4044,0.0000,0.0030,1.0000
3.0448,4.7625,10.3498,96.3801,-283.9909,0.0000,0.0030,1.0000
3.0621,6.3127,10.4424,94.4615,-279.1571,0.0000,0.0030,1.0000
3.0793,10.6482,10.2111,94.9106,-270.4726,0.0000,0.0030,1.0000
3.0966,9.0496,10.3693,97.2385,-276.3141,0.0000,0.0030,1.0000
3.1138,7.0198,10.3122,94.9299,-277.9509,0.0000,0.0030,1.0000
3.1310,6.6861,10.1888,95.6025,-279.0442,0.0000,0.0030,1.0000
3.1483,4.9054,10.1267,94.4002,-281.2791,0.0000,0.0030,1.0000
3.1655,7.9880,10.6633,97.4459,-279.2327,0.0000,0.0030,1.0000
3.1828,5.0783,10.5118,95.2353,-282.5384,0.0000,0.0030,1.0000
3.2000,7.3135,10.1734,96.5841,-278.7400,0.0000,0.0030,1.0000
3.2172,4.5936,10.0382,94.1359,-281.4613,0.0000,0.0030,1.0000
3.2345,1.8074,10.3037,94.6286,-288.0573,0.0000,0.0030,1.0000
3.2517,6.7474,10.3621,97.3384,-281.0042,0.0000,0.0030,1.0000
3.2690,6.3957,10.8438,95.4690,-280.8014,0.0000,0.0030,1.0000
3.2862,8.2322,9.9963,95.8973,-275.8617,0.0000,0.0030,1.0000
3.3034,2.5007,10.1690,93.7451,-285.5179,0.0000,0.0030,1.0000
3.3207,10.1148,10.5790,98.5176,-275.8823,0.0000,0.0030,1.0000
3.3379,7.3497,10.2460,91.4322,-273.6611,0.0000,0.0030,1.0000
3.3552,4.6314,10.1018,97.1038,-284.4808,0.0000,0.0030,1.0000
3.3724,9.4343,10.5793,96.1576,-274.8839,0.0000,0.0030,1.0000
3.3897,7.6444,10.3675,95.5641,-277.4467,0.0000,0.0030,1.0000
3.4069,5.1914,10.2615,100.1499,-286.7265,0.0000,0.0030,1.0000
3.4241,9.5561,10.2593,93.3177,-271.1603,0.0000,0.0030,1.0000
3.4414,7.4062,9.7875,95.1121,-276.3109,0.0000,0.0030,1.0000
3.4586,3.7913,10.2745,94.0742,-283.4767,0.0000,0.0030,1.0000
3.4759,5.3255,10.3963,98.6853,-285.2630,0.0000,0.0030,1.0000
3.4931,6.3763,10.5751,92.4699,-277.3037,0.0000,0.0030,1.0000
3.5103,3.9504,10.6152,94.8023,-284.5683,0.0000,0.0030,1.0000
3.5276,5.2723,10.5099,95.2988,-282.2103,0.0000,0.0030,1.0000
3.5448,6.4904,10.3990,95.9019,-280.1554,0.0000,0.0030,1.0000
3.5621,5.7025,10.2123,97.0166,-282.4724,0.0000,0.0030,1.0000
3.5793,6.7772,10.4072,96.2658,-279.9621,0.0000,0.0030,1.0000
3.5966,6.0734,10.2952,93.3405,-278.2201,0.0000,0.0030,1.0000
3.6138,4.2957,10.2458,96.0013,-284.3378,0.0000,0.0030,1.0000
3.6310,8.4082,10.4028,94.8910,-275.3164,0.0000,0.0030,1.0000
3.6483,7.9444,10.0741,98.0261,-278.7215,0.0000,0.0030,1.0000
3.6655,9.1121,10.3459,95.9580,-274.8618,0.0000,0.0030,1.0000
3.6828,3.9671,10.4477,92.7323,-282.1296,0.0000,0.0030,1.0000
3.7000,6.0748,10.5828,97.9914,-283.4436,0.0000,0.0030,1.0000
3.7172,7.2180,10.4060,94.8167,-277.6290,0.0000,0.0030,1.0000
3.7345,4.3325,10.1275,95.1188,-283.1450,0.0000,0.0030,1.0000
3.7517,7.6855,10.6219,97.5234,-279.8323,0.0000,0.0030,1.0000
3.7690,4.6210,10.3198,94.3589,-282.1927,0.0000,0.0030,1.0000
3.7862,4.5708,10.2692,94.4768,-282.3097,0.0000,0.0030,1.0000
3.8034,4.3914,10.5019,95.4339,-284.0911,0.0000,0.0030,1.0000
3.8207,6.8016,10.2404,97.5190,-280.8328,0.0000,0.0030,1.0000
3.8379,5.4191,10.3416,94.0460,-280.3271,0.0000,0.0030,1.0000
3.8552,4.4681,10.6069,97.0385,-285.7524,0.0000,0.0030,1.0000
3.8724,6.2409,10.4837,93.0709,-277.9927,0.0000,0.0030,1.0000
3.8897,6.3797,10.4347,96.9812,-281.5273,0.0000,0.0030,1.0000
3.9069,6.0171,10.4445,96.1826,-281.4735,0.0000,0.0030,1.0000
3.9241,4.5637,10.3852,93.4242,-281.5034,0.0000,0.0030,1.0000
3.9414,0.8628,10.2424,96.6903,-291.8858,0.0000,0.0030,1.0000
3.9586,0.1919,10.2605,93.3756,-289.9491,0.0000,0.0030,1.0000
3.9759,4.4520,10.4346,100.0712,-288.4727,0.0000,0.0030,1.0000
3.9931,6.9223,10.3278,93.2602,-276.5073,0.0000,0.0030,1.0000
4.0086,2.6067,6.1676,55.8759,-168.8593,0.0000,0.0030,1.0000
4.0259,3.3281,10.5572,96.2566,-287.1511,0.0000,0.0030,1.0000
4.0431,4.7946,10.5375,98.2155,-286.1376,0.0000,0.0030,1.0000
4.0603,3.7302,10.5497,92.1784,-282.2536,0.0000,0.0030,1.0000
4.0776,9.8722,10.2809,98.3527,-275.6063,0.0000,0.0030,1.0000
4.0948,7.6006,10.5120,92.9762,-275.2351,0.0000,0.0030,1.0000
4.1121,5.4192,10.1426,96.8016,-282.6846,0.0000,0.0030,1.0000
4.1293,6.8510,10.3524,96.1027,-279.5417,0.0000,0.0030,1.0000
4.1466,2.4922,10.2742,94.0979,-286.0982,0.0000,0.0030,1.0000
4.1638,8.8884,10.8278,97.7520,-278.0669,0.0000,0.0030,1.0000
4.1810,2.6149,10.5720,94.7191,-287.0694,0.0000,0.0030,1.0000
4.1983,7.7527,10.2984,97.1089,-278.6365,0.0000,0.0030,1.0000
4.2155,0.9647,10.1666,93.8007,-288.6406,0.0000,0.0030,1.0000
4.2328,2.5171,10.4471,95.4668,-287.7631,0.0000,0.0030,1.0000
4.2500,5.8332,10.3222,95.7590,-281.1732,0.0000,0.0030,1.0000
4.2672,5.6479,10.7653,94.5584,-281.2295,0.0000,0.0030,1.0000
4.2845,8.5088,10.3057,97.4080,-277.4382,0.0000,0.0030,1.0000
4.3017,2.8808,10.1652,93.6705,-284.6755,0.0000,0.0030,1.0000
4.3190,9.1489,10.4536,98.8203,-277.8659,0.0000,0.0030,1.0000
4.3362,7.2540,10.1986,91.6528,-273.9782,0.0000,0.0030,1.0000
4.3534,2.6862,10.1302,96.0976,-287.4218,0.0000,0.0030,1.0000
4.3707,6.2485,10.6835,96.4338,-281.7398,0.0000,0.0030,1.0000
4.3879,7.1652,10.6952,97.2597,-280.7559,0.0000,0.0030,1.0000
4.4052,3.0733,10.2261,97.2357,-287.9776,0.0000,0.0030,1.0000
4.4224,6.9378,10.4716,93.9918,-277.4956,0.0000,0.0030,1.0000
4.4397,6.0321,9.9900,95.4278,-279.7797,0.0000,0.0030,1.0000
4.4569,3.3645,10.2895,94.1514,-284.4376,0.0000,0.0030,1.0000
4.4741,2.4968,10.4214,95.8718,-288.1572,0.0000,0.0030,1.0000
4.4914,3.6554,10.7031,94.6280,-285.1597,0.0000,0.0030,1.0000
4.5086,3.8340,10.7572,95.9109,-286.1935,0.0000,0.0030,1.0000
4.5259,4.6482,10.6035,94.8027,-283.1496,0.0000,0.0030,1.0000
4.5431,5.4720,10.5144,96.6643,-283.1853,0.0000,0.0030,1.0000
