epoch,loss,kl_z,rec_mse,rec_var,loss_type,lr,varpen
0.0155,124.2777,1.5534,99.3674,-30.3550,0.0000,0.0300,1.0000
0.0328,107.7452,2.5232,88.9832,-54.9754,0.0000,0.0300,1.0000
0.0500,87.4933,4.3341,91.9535,-102.0713,0.0000,0.0300,1.0000
0.0672,78.4919,4.5149,97.4755,-125.9577,0.0000,0.0300,1.0000
0.0845,71.2693,4.3739,89.1132,-131.7586,0.0000,0.0300,1.0000
0.1017,67.9625,4.1597,96.7390,-145.5697,0.0000,0.0300,1.0000
0.1190,64.5725,4.0217,98.1554,-153.4899,0.0000,0.0300,1.0000
0.1362,65.5463,4.0052,94.7119,-148.0659,0.0000,0.0300,1.0000
0.1534,65.0496,4.0003,97.5048,-151.8425,0.0000,0.0300,1.0000
0.1707,66.1203,3.9437,94.8784,-146.9612,0.0000,0.0300,1.0000
0.1879,62.0721,4.0257,93.4978,-153.8413,0.0000,0.0300,1.0000
0.2052,58.5453,4.1917,95.7388,-163.4677,0.0000,0.0300,1.0000
0.2224,63.3825,4.3927,98.1501,-156.6067,0.0000,0.0300,1.0000
0.2397,62.3497,4.1975,93.4686,-153.6002,0.0000,0.0300,1.0000
0.2569,64.0197,4.4054,98.0648,-155.2723,0.0000,0.0300,1.0000
0.2741,56.9004,4.2721,95.4075,-166.5872,0.0000,0.0300,1.0000
0.2914,53.4970,4.5190,93.7809,-172.2611,0.0000,0.0300,1.0000
0.3086,57.0617,4.5209,96.9342,-168.2888,0.0000,0.0300,1.0000
0.3259,58.8760,4.1765,95.7571,-162.7942,0.0000,0.0300,1.0000
0.3431,59.0549,4.4895,94.2702,-161.5756,0.0000,0.0300,1.0000
0.3603,55.6516,4.4055,97.2825,-171.2265,0.0000,0.0300,1.0000
0.3776,53.9574,4.5891,95.5408,-173.2402,0.0000,0.0300,1.0000
0.3948,52.9187,4.5794,95.6604,-175.4181,0.0000,0.0300,1.0000
0.4121,48.8197,4.6069,97.1616,-185.1721,0.0000,0.0300,1.0000
0.4293,49.4512,4.9611,96.9229,-184.3790,0.0000,0.0300,1.0000
0.4466,52.2331,4.7669,94.3264,-175.8301,0.0000,0.0300,1.0000
0.4638,53.9695,5.3996,94.5542,-173.8505,0.0000,0.0300,1.0000
0.4810,50.5633,4.9931,98.5350,-183.8307,0.0000,0.0300,1.0000
0.4983,50.3799,5.0817,96.0299,-181.8698,0.0000,0.0300,1.0000
0.5155,48.8152,5.4118,94.1942,-183.8236,0.0000,0.0300,1.0000
0.5328,45.8379,5.6510,96.4081,-192.4703,0.0000,0.0300,1.0000
0.5500,50.3280,5.9309,94.8118,-182.4538,0.0000,0.0300,1.0000
0.5672,49.6055,5.9061,97.5982,-186.6356,0.0000,0.0300,1.0000
0.5845,48.1552,5.7283,93.6322,-185.2147,0.0000,0.0300,1.0000
0.6017,44.5436,6.1731,97.2455,-196.9407,0.0000,0.0300,1.0000
0.6190,41.5584,6.0830,96.5714,-202.0567,0.0000,0.0300,1.0000
0.6362,40.8176,6.8620,96.0965,-204.6216,0.0000,0.0300,1.0000
0.6534,49.5802,6.6325,97.9160,-188.4567,0.0000,0.0300,1.0000
0.6707,51.1603,6.6552,96.5702,-183.9962,0.0000,0.0300,1.0000
0.6879,45.0710,6.2237,93.7947,-192.5364,0.0000,0.0300,1.0000
0.7052,47.9724,6.8464,95.7728,-189.9570,0.0000,0.0300,1.0000
0.7224,42.0215,6.9468,97.1388,-203.4256,0.0000,0.0300,1.0000
0.7397,42.4497,6.9513,94.6551,-200.0944,0.0000,0.0300,1.0000
0.7569,38.8927,6.8206,97.7664,-210.0584,0.0000,0.0300,1.0000
0.7741,37.8153,7.2994,95.0933,-210.4977,0.0000,0.0300,1.0000
0.7914,38.6741,7.0967,94.4267,-207.7081,0.0000,0.0300,1.0000
0.8086,34.5365,7.2652,95.9427,-217.8364,0.0000,0.0300,1.0000
0.8259,37.5195,7.2986,96.9611,-212.9556,0.0000,0.0300,1.0000
0.8431,42.8791,7.2747,97.2074,-202.4348,0.0000,0.0300,1.0000
0.8603,44.2833,7.4344,98.5045,-201.2428,0.0000,0.0300,1.0000
0.8776,41.3932,7.3183,91.5829,-199.8693,0.0000,0.0300,1.0000
0.8948,36.2520,7.3457,96.3164,-214.9398,0.0000,0.0300,1.0000
0.9121,40.4454,7.3937,94.5848,-204.9177,0.0000,0.0300,1.0000
0.9293,35.7123,7.6351,95.5596,-215.8413,0.0000,0.0300,1.0000
0.9466,36.7292,7.7159,97.3574,-215.7670,0.0000,0.0300,1.0000
0.9638,37.9220,7.4537,98.9718,-214.4714,0.0000,0.0300,1.0000
0.9810,38.6039,7.7670,92.7990,-207.5615,0.0000,0.0300,1.0000
0.9983,39.0769,7.6009,93.6339,-207.1181,0.0000,0.0300,1.0000
